tab 	sites
age	age_high	age_low	age_unit	citations	dir_comp_name	dir_dec	dir_inc	dir_n_samples	dir_n_specimens	dir_n_specimens_lines	dir_tilt_correction	geologic_classes	geologic_types	lat	lithologies	location	lon	method_codes	result_quality	samples	site	software_packages	specimens	vgp_lat	vgp_lon
1075	1085.57	1050	Ma	This study	hct	252.7	56.8	1	1	1	0.0	Sedimentary	Sediment Layer	46.46	Siltstone	Potato River Falls	269.47	LP-DIR-T:DE-BFL:DA-DIR-GEO:LP-DC4:FS-LOC-GPS	g	PF18-1	PF18-1	pmagpy-4.2.24-1: demag_gui.v.3.0	PF18-1a	16.1	217.3
1075	1085.57	1050	Ma	This study	hdt	224.4	55.9	1	1	1	0.0	Sedimentary	Sediment Layer	46.46	Siltstone	Potato River Falls	269.47	LP-DIR-T:DE-BFL-A:DA-DIR-GEO:LP-DC4:FS-LOC-GPS	g	PF18-1	PF18-1	pmagpy-4.2.24-1: demag_gui.v.3.0	PF18-1a	2.0	235.2
1075	1085.57	1050	Ma	This study	hct	283.2	-8.9	1	1	1	100.0	Sedimentary	Sediment Layer	46.46	Siltstone	Potato River Falls	269.47	LP-DIR-T:DE-BFL:DA-DIR-TILT:LP-DC4:DA-DIR-GEO:FS-LOC-GPS	g	PF18-1	PF18-1	pmagpy-4.2.24-1: demag_gui.v.3.0	PF18-1a	5.8	166.8
1075	1085.57	1050	Ma	This study	hdt	277.3	5.5	1	1	1	100.0	Sedimentary	Sediment Layer	46.46	Siltstone	Potato River Falls	269.47	LP-DIR-T:DE-BFL-A:DA-DIR-TILT:LP-DC4:DA-DIR-GEO:FS-LOC-GPS	g	PF18-1	PF18-1	pmagpy-4.2.24-1: demag_gui.v.3.0	PF18-1a	7.0	176.1
1075	1085.57	1050	Ma	This study	hdt	205.2	55.9	1	1	1	0.0	Sedimentary	Sediment Layer	46.46	Siltstone	Potato River Falls	269.47	LP-DIR-T:DE-BFL-A:DA-DIR-GEO:LP-DC4:FS-LOC-GPS	g	PF18-10	PF18-10	pmagpy-4.2.24-1: demag_gui.v.3.0	PF18-10a	-4.1	249.4
1075	1085.57	1050	Ma	This study	lt	338.2	81.0	1	1	1	0.0	Sedimentary	Sediment Layer	46.46	Siltstone	Potato River Falls	269.47	LP-DIR-T:DE-BFL:DA-DIR-GEO:LP-DC4:FS-LOC-GPS	g	PF18-10	PF18-10	pmagpy-4.2.24-1: demag_gui.v.3.0	PF18-10a	62.2	255.6
1075	1085.57	1050	Ma	This study	mt	204.8	58.5	1	1	1	0.0	Sedimentary	Sediment Layer	46.46	Siltstone	Potato River Falls	269.47	LP-DIR-T:DE-BFL:DA-DIR-GEO:LP-DC4:FS-LOC-GPS	g	PF18-10	PF18-10	pmagpy-4.2.24-1: demag_gui.v.3.0	PF18-10a	-1.5	250.5
1075	1085.57	1050	Ma	This study	hdt	277.4	16.2	1	1	1	100.0	Sedimentary	Sediment Layer	46.46	Siltstone	Potato River Falls	269.47	LP-DIR-T:DE-BFL-A:DA-DIR-TILT:LP-DC4:DA-DIR-GEO:FS-LOC-GPS	g	PF18-10	PF18-10	pmagpy-4.2.24-1: demag_gui.v.3.0	PF18-10a	11.1	179.9
1075	1085.57	1050	Ma	This study	lt	315.5	0.6	1	1	1	100.0	Sedimentary	Sediment Layer	46.46	Siltstone	Potato River Falls	269.47	LP-DIR-T:DE-BFL:DA-DIR-TILT:LP-DC4:DA-DIR-GEO:FS-LOC-GPS	g	PF18-10	PF18-10	pmagpy-4.2.24-1: demag_gui.v.3.0	PF18-10a	29.7	143.2
1075	1085.57	1050	Ma	This study	mt	280.1	16.0	1	1	1	100.0	Sedimentary	Sediment Layer	46.46	Siltstone	Potato River Falls	269.47	LP-DIR-T:DE-BFL:DA-DIR-TILT:LP-DC4:DA-DIR-GEO:FS-LOC-GPS	g	PF18-10	PF18-10	pmagpy-4.2.24-1: demag_gui.v.3.0	PF18-10a	12.9	177.8
