tab 	specimens
citations	dir_comp	dir_dang	dir_dec	dir_inc	dir_mad_free	dir_n_comps	dir_n_measurements	dir_tilt_correction	experiments	instrument_codes	int_corr	meas_step_max	meas_step_min	meas_step_unit	method_codes	result_quality	sample	software_packages	specimen	weight
This study	mt	11.8	271.1	7.1	2.1	1	5	100.0	PF18-100a_LP-DIR-T	hargrave 2021-06-08 10:17:21	u	863.0	823.0	K	LP-DIR-T:DE-BFL:DA-DIR-TILT	g	PF18-100	pmagpy-4.2.24-1: demag_gui	PF18-100a	
This study	mt	11.8	217.8	52.5	2.1	1	5	0.0	PF18-100a_LP-DIR-T	hargrave 2021-06-08 10:17:21	u	863.0	823.0	K	LP-DIR-T:DE-BFL:DA-DIR-GEO	g	PF18-100	pmagpy-4.2.24-1: demag_gui	PF18-100a	
This study	mt	11.8	299.0	61.2	2.1	1	5	-1.0	PF18-100a_LP-DIR-T	hargrave 2021-06-08 10:17:21	u	863.0	823.0	K	LP-DIR-T:DE-BFL:DA-DIR	g	PF18-100	pmagpy-4.2.24-1: demag_gui	PF18-100a	
This study	mt	1.7	222.7	35.1	8.3	1	6	-1.0	PF18-101a_LP-DIR-T	hargrave 2021-06-08 10:18:55	u	853.0	793.0	K	LP-DIR-T:DE-BFL:DA-DIR	g	PF18-101	pmagpy-4.2.24-1: demag_gui	PF18-101a	
This study	mt	1.7	224.0	45.9	8.3	1	6	0.0	PF18-101a_LP-DIR-T	hargrave 2021-06-08 10:18:55	u	853.0	793.0	K	LP-DIR-T:DE-BFL:DA-DIR-GEO	g	PF18-101	pmagpy-4.2.24-1: demag_gui	PF18-101a	
This study	mt	1.7	265.0	2.3	8.3	1	6	100.0	PF18-101a_LP-DIR-T	hargrave 2021-06-08 10:18:55	u	853.0	793.0	K	LP-DIR-T:DE-BFL:DA-DIR-TILT	g	PF18-101	pmagpy-4.2.24-1: demag_gui	PF18-101a	
This study	mt	11.7	203.1	53.9	9.0	2	5	0.0	PF18-102a_LP-DIR-T	hargrave 2021-06-08 10:20:33	u	863.0	823.0	K	LP-DIR-T:DE-BFL:DA-DIR-GEO	g	PF18-102	pmagpy-4.2.24-1: demag_gui	PF18-102a	
This study	hdt	0.0	283.0	62.8	11.4	2	16	-1.0	PF18-102a_LP-DIR-T	hargrave 2021-06-08 10:20:33	u	965.0	913.0	K	LP-DIR-T:DE-BFL-A:DA-DIR	g	PF18-102	pmagpy-4.2.24-1: demag_gui	PF18-102a	
This study	mt	11.7	272.3	75.9	9.0	2	5	-1.0	PF18-102a_LP-DIR-T	hargrave 2021-06-08 10:20:33	u	863.0	823.0	K	LP-DIR-T:DE-BFL:DA-DIR	g	PF18-102	pmagpy-4.2.24-1: demag_gui	PF18-102a	
This study	hdt	0.0	189.7	43.6	11.4	2	16	0.0	PF18-102a_LP-DIR-T	hargrave 2021-06-08 10:20:33	u	965.0	913.0	K	LP-DIR-T:DE-BFL-A:DA-DIR-GEO	g	PF18-102	pmagpy-4.2.24-1: demag_gui	PF18-102a	
