tab 	sites
age	age_sigma	age_unit	bed_dip	bed_dip_direction	citations	description	dir_alpha95	dir_dec	dir_inc	dir_k	dir_n_samples	dir_tilt_correction	geologic_classes	geologic_types	lat	lithologies	location	lon	method_codes	result_quality	result_type	site	vgp_dm	vgp_dp	vgp_lat	vgp_lon
1085.57	0.5	Ma	38	356.0	10.1139/cjes-2013-0003	Middle LST; Kulakov et al. (2013)	3.8	300.3	34.1	240.0	9	100	Igneous	Lava Flow	47.46	Basalt	Lake Shore Traps	271.93	LP-DIR-AF:LP-DIR-T:DE-BFL:DE-FM	g	i	CS1	4.3	2.5	34.0	172.5
1085.57	0.5	Ma	38	356.0	10.1139/cjes-2013-0003	Middle LST; Kulakov et al. (2013)	2.7	297.0	37.9	803.0	6	100	Igneous	Lava Flow	47.46	Basalt	Lake Shore Traps	271.93	LP-DIR-AF:LP-DIR-T:DE-BFL:DE-FM	g	i	CS2	3.2	1.9	33.6	177.4
1085.57	0.5	Ma	38	356.0	10.1139/cjes-2013-0003	Middle LST; Kulakov et al. (2013)	3.0	280.4	48.1	282.0	9	100	Igneous	Lava Flow	47.46	Basalt	Lake Shore Traps	271.93	LP-DIR-AF:LP-DIR-T:DE-BFL:DE-FM	g	i	SI1	3.9	2.6	27.7	195.8
1085.57	0.5	Ma	38	356.0	10.1139/cjes-2013-0003	Middle LST; Kulakov et al. (2013)	5.0	272.4	45.8	153.0	6	100	Igneous	Lava Flow	47.46	Basalt	Lake Shore Traps	271.93	LP-DIR-AF:LP-DIR-T:DE-BFL:DE-FM	g	i	SI2	6.4	4.1	21.2	199.5
1085.57	0.5	Ma	38	356.0	10.1139/cjes-2013-0003	Middle LST; Kulakov et al. (2013)	4.0	279.9	43.5	281.0	6	100	Igneous	Lava Flow	47.46	Basalt	Lake Shore Traps	271.93	LP-DIR-AF:LP-DIR-T:DE-BFL:DE-FM	g	i	SI3	5.0	3.1	24.9	193.1
1085.57	0.5	Ma	38	356.0	10.1139/cjes-2013-0003	Middle LST; Kulakov et al. (2013)	2.3	275.5	48.1	1025.0	8	100	Igneous	Lava Flow	47.46	Basalt	Lake Shore Traps	271.93	LP-DIR-AF:LP-DIR-T:DE-BFL:DE-FM	g	i	SI4	3.0	2.0	24.5	199.0
1085.57	0.5	Ma	38	356.0	10.1139/cjes-2013-0003	Middle LST; Kulakov et al. (2013)	6.4	276.6	44.7	109.0	6	100	Igneous	Lava Flow	47.46	Basalt	Lake Shore Traps	271.93	LP-DIR-AF:LP-DIR-T:DE-BFL:DE-FM	g	i	SI5	8.1	5.1	23.4	196.0
1085.57	0.5	Ma	38	356.0	10.1139/cjes-2013-0003	Middle LST; Kulakov et al. (2013)	2.5	269.8	40.3	738.0	7	100	Igneous	Lava Flow	47.46	Basalt	Lake Shore Traps	271.93	LP-DIR-AF:LP-DIR-T:DE-BFL:DE-FM	g	i	SI6	3.0	1.8	16.6	198.1
1085.57	0.5	Ma	38	356.0	10.1139/cjes-2013-0003	Middle LST; Kulakov et al. (2013)	6.2	285.3	43.1	221.0	4	100	Igneous	Lava Flow	47.46	Basalt	Lake Shore Traps	271.93	LP-DIR-AF:LP-DIR-T:DE-BFL:DE-FM	g	i	SI7	7.7	4.8	28.3	189.1
1085.57	0.5	Ma	38	356.0	10.1139/cjes-2013-0003	Middle LST; Kulakov et al. (2013)	3.8	279.0	40.1	320.0	6	100	Igneous	Lava Flow	47.46	Basalt	Lake Shore Traps	271.93	LP-DIR-AF:LP-DIR-T:DE-BFL:DE-FM	g	i	SI8	4.6	2.8	22.5	191.7
