tab 	sites																		
citations	dir_dec	dir_inc	dir_n_samples	dir_polarity	dir_tilt_correction	formation	geologic_classes	geologic_types	lat	lithologies	location	lon	method_codes	result_type	site	height	site_alternatives	vgp_lat	vgp_lon
This study	265.6	51.6	5	n	100	Portage Lake Volcanics	Extrusive	Lava Flow	47.2860613	Basalt	Keweenaw Peninsula:Michigan	-88.41397747	LT-AF-Z	a	PL1	3111.859784		20.36558789	207.4930682
This study	293.6	33.7	5	n	100	Portage Lake Volcanics	Extrusive	Lava Flow	47.28907705	Basalt	Keweenaw Peninsula:Michigan	-88.41649567	LT-AF-Z	a	PL10	3350.323799		29.34384483	177.3404554
This study	293.6	30.3	5	n	100	Portage Lake Volcanics	Extrusive	Lava Flow	47.28910446	Basalt	Keweenaw Peninsula:Michigan	-88.4165964	LT-AF-Z	a	PL11	3358.474569		27.82222889	175.6035635
This study	297.8	33.6	5	n	100	Portage Lake Volcanics	Extrusive	Lava Flow	47.28914559	Basalt	Keweenaw Peninsula:Michigan	-88.41669713	LT-AF-Z	a	PL12	3366.96498		32.13157917	174.0255776
This study	296.9	28.2	5	n	100	Portage Lake Volcanics	Extrusive	Lava Flow	47.28948829	Basalt	Keweenaw Peninsula:Michigan	-88.41679786	LT-AF-Z	a	PL13	3374.436468		29.12339641	171.9982461
This study	294.7	32	5	n	100	Portage Lake Volcanics	Extrusive	Lava Flow	47.28955683	Basalt	Keweenaw Peninsula:Michigan	-88.41699931	LT-AF-Z	a	PL14	3383.945649		29.31873569	175.6058032
This study	284	33	4	n	100	Portage Lake Volcanics	Extrusive	Lava Flow	47.28798041	Basalt	Keweenaw Peninsula:Michigan	-88.40954543	LT-AF-Z	a	PL150	3023.220235		22.51950636	184.0980891
This study	286.2	41	6	n	100	Portage Lake Volcanics	Extrusive	Lava Flow	47.38982443	Basalt	Keweenaw Peninsula:Michigan	-88.03789171	LT-AF-Z	a	PL153	3111.859784		27.81369748	187.2527448
This study	274.2	33.1	5	n	100	Portage Lake Volcanics	Extrusive	Lava Flow	47.3942109	Basalt	Keweenaw Peninsula:Michigan	-88.03607512	LT-AF-Z	a	PL154	3111.859784		15.97588005	191.4555736
This study	254.7	40.4	5	n	100	Portage Lake Volcanics	Extrusive	Lava Flow	47.42025236	Basalt	Keweenaw Peninsula:Michigan	-88.10838178	LT-AF-Z	a	PL157	3111.859784		7.124868599	208.4539683
This study	283	38.9	5	n	100	Portage Lake Volcanics	Extrusive	Lava Flow	47.42271974	Basalt	Keweenaw Peninsula:Michigan	-88.11181499	LT-AF-Z	a	PL158	3111.859784		24.62343197	188.1736381
This study	284.3	48.8	4	n	100	Portage Lake Volcanics	Extrusive	Lava Flow	47.42203436	Basalt	Keweenaw Peninsula:Michigan	-88.11161303	LT-AF-Z	a	PL159	3111.859784		30.68485369	193.8081837
This study	283	44.3	4	n	100	Portage Lake Volcanics	Extrusive	Lava Flow	47.42244559	Basalt	Keweenaw Peninsula:Michigan	-88.11221889	LT-AF-Z	a	PL160	3111.859784		27.36712194	191.469444
This study	299	31.7	3	n	100	Portage Lake Volcanics	Extrusive	Lava Flow	47.2914074	Basalt	Keweenaw Peninsula:Michigan	-88.41710004	LT-AF-Z	a	PL19	3451.957938		32.07334295	172.0555512
This study	295.3	40.2	5	n	100	Portage Lake Volcanics	Extrusive	Lava Flow	47.29195572	Basalt	Keweenaw Peninsula:Michigan	-88.41720077	LT-AF-Z	a	PL20	3467.491044		33.57356051	179.8441741
This study	291.4	43.6	6	n	100	Portage Lake Volcanics	Extrusive	Lava Flow	47.2920928	Basalt	Keweenaw Peninsula:Michigan	-88.41800659	LT-AF-Z	a	PL22	3512.999408		32.63902035	184.9522894
This study	280.2	35.7	4	n	100	Portage Lake Volcanics	Extrusive	Lava Flow	47.29305235	Basalt	Keweenaw Peninsula:Michigan	-88.41820805	LT-AF-Z	a	PL24	3550.357002		21.19224998	188.1635623
This study	279.3	49.7	5	n	100	Portage Lake Volcanics	Extrusive	Lava Flow	47.29332651	Basalt	Keweenaw Peninsula:Michigan	-88.4184095	LT-AF-Z	a	PL25	3568.016953		27.88037346	197.4823528
This study	285.9	33.6	5	n	100	Portage Lake Volcanics	Extrusive	Lava Flow	47.29401191	Basalt	Keweenaw Peninsula:Michigan	-88.41861096	LT-AF-Z	a	PL26	3605.035061		24.07925811	183.0104413
This study	282.8	41.5	4	n	100	Portage Lake Volcanics	Extrusive	Lava Flow	47.29360067	Basalt	Keweenaw Peninsula:Michigan	-88.41699931	LT-AF-Z	a	PL27	3642.658722		25.7659544	189.5932598
This study	279.5	36.6	5	n	100	Portage Lake Volcanics	Extrusive	Lava Flow	47.28798041	Basalt	Keweenaw Peninsula:Michigan	-88.41397747	LT-AF-Z	a	PL3	3183.009049		21.14513846	189.1294607
This study	296.4	32	5	n	100	Portage Lake Volcanics	Extrusive	Lava Flow	47.30219625	Basalt	Keweenaw Peninsula:Michigan	-88.39870524	LT-AF-Z	a	PL32	3309.230461	Greenstone Flow	30.4624705	174.2908906
This study	289.6	30.6	4	n	100	Portage Lake Volcanics	Extrusive	Lava Flow	47.26553697	Basalt	Keweenaw Peninsula:Michigan	-88.41828157	LT-AF-Z	a	PL323	2434.974284		25.25023144	178.8026426
This study	293	35	5	n	100	Portage Lake Volcanics	Extrusive	Lava Flow	47.26626227	Basalt	Keweenaw Peninsula:Michigan	-88.41348364	LT-AF-Z	a	PL324	2278.437974		29.53563072	178.5133619
This study	293.2	33.6	5	n	100	Portage Lake Volcanics	Extrusive	Lava Flow	47.26790722	Basalt	Keweenaw Peninsula:Michigan	-88.4052262	LT-AF-Z	a	PL325	1461.21976		29.02915213	177.6151862
This study	279.8	50	5	n	100	Portage Lake Volcanics	Extrusive	Lava Flow	47.26394531	Basalt	Keweenaw Peninsula:Michigan	-88.40422811	LT-AF-Z	a	PL326	2025.735561		28.37259349	197.4235456
This study	283.8	41.5	4	n	100	Portage Lake Volcanics	Extrusive	Lava Flow	47.26353407	Basalt	Keweenaw Peninsula:Michigan	-88.40261734	LT-AF-Z	a	PL327	2243.196735		26.43429702	188.9319434
This study	286.1	24.4	3	n	100	Portage Lake Volcanics	Extrusive	Lava Flow	47.3185796	Basalt	Keweenaw Peninsula:Michigan	-88.39288396	LT-AF-Z	a	PL329	3828.428078	Ashbed Flow	20.23960008	178.6218721
This study	291	37.2	5	n	100	Portage Lake Volcanics	Extrusive	Lava Flow	47.30192209	Basalt	Keweenaw Peninsula:Michigan	-88.39850373	LT-AF-Z	a	PL33	3286.252087	Greenstone Flow	29.20815858	181.2325482
This study	286.8	21	5	n	100	Portage Lake Volcanics	Extrusive	Lava Flow	47.27345896	Basalt	Keweenaw Peninsula:Michigan	-88.41489345	LT-AF-Z	a	PL330	2599.850312		19.33305326	176.6835764
This study	283.3	35.3	5	n	100	Portage Lake Volcanics	Extrusive	Lava Flow	47.2807152	Basalt	Keweenaw Peninsula:Michigan	-88.41458184	LT-AF-Z	a	PL331	2820.108821		23.09785206	185.7672225
This study	281.8	28.8	5	n	100	Portage Lake Volcanics	Extrusive	Lava Flow	47.29269809	Basalt	Keweenaw Peninsula:Michigan	-88.42945971	LT-AF-Z	a	PL333	3962.214294		19.17795371	183.6865311
This study	296.1	33.7	4	n	100	Portage Lake Volcanics	Extrusive	Lava Flow	47.30666996	Basalt	Keweenaw Peninsula:Michigan	-88.35529607	LT-AF-Z	a	PL335	2207.783363	Kearsarge Flow	31.03063497	175.4645159
This study	286.9	19.7	4	n	100	Portage Lake Volcanics	Extrusive	Lava Flow	47.40141725	Basalt	Keweenaw Peninsula:Michigan	-88.29028784	LT-AF-Z	a	PL338	3824.352693	Ashbed Flow	18.86901531	176.1691229
