tab delimited	sites
site	location	result_type	result_quality	method_codes	citations	geologic_classes	geologic_types	lithologies	lat	lon	age	age_low	age_high	age_unit	dir_tilt_correction	dir_comp_name	dir_dec	dir_inc	dir_polarity	dir_k	dir_alpha95	dir_n_samples	vgp_lat	vgp_lon	vgp_dp	vgp_dm	description
Channel Island sill	Nipigon Embayment	i	g	DE-BFL:LP-DIR-AF:LP-DIR-T	10.17741/bgsf/51.1-2.004	Igneous	Sill	Diabase	48.8118	272.5086	1108	1106	1110	Ma	0	ChRM	122.0	-77.3	r	179.0	5.7	5	56.0	233.9	10.0	10.7	Osler; R40 (Pesonen, 1979)
Colville Lake	Nipigon Embayment	i	g	DE-BLANKET:LP-DIR-AF-BLANKET:LP-DIR-T	10.1139/e71-125	Igneous	Sill	Diabase	49.0244	270.7208	1108	1106	1110	Ma	0	ChRM	53.0	-72.0	r	364.8	13.1	12	24.8	242.2	20.4	23.1	Nipigon; 2 determinations merged (S5:S6; Robertson and Fahrig, 1971)
Disraeli	Nipigon Embayment	i	g	DE-BFL:LP-DIR-LT:LP-DIR-T	10.1029/2003JB002581	Igneous	Intrusion	Intrusives	49.1360	270.9970	1108	1106	1110	Ma	0	ChRM	84.3	-75.6	r	50.3	6.2	12	40.0	234.6	10.5	11.4	Nipigon; M1 (Middleton et al. 2004)
Doghead Mountain	Nipigon Embayment	i	g	DE-BLANKET:LP-DIR-AF-BLANKET	10.4095/100589	Igneous	Sill	Diabase	49.0005	271.7714	1108	1106	1110	Ma	0	ChRM	138.6	-72.3	r	175.0	7.0	4	64.3	216.7	10.9	12.3	Nipigon; N9-11 (DuBois, 1962)
Geikie	Nipigon Embayment	i	g	DE-BFL:LP-DIR-LT:LP-DIR-T	10.1029/2003JB002581	Igneous	Sill	Diabase	49.5060	270.6810	1108	1106	1110	Ma	0	ChRM	129.5	-54.7	r	36.6	10.1	7	50.9	178.8	10.1	14.3	Nipigon; M10 (Middleton et al. 2004)
Havoc	Nipigon Embayment	i	g	DE-BFL:LP-DIR-LT:LP-DIR-T	10.1029/2003JB002581	Igneous	Sill	Diabase	49.9260	270.9210	1108	1106	1110	Ma	0	ChRM	123.8	-70.3	r	33.0	44.9	24	55.6	213.1	67.0	77.6	Nipigon; 2 determinations merged (M7:M8; Middleton et al. 2004)
Hele 2	Nipigon Embayment	i	g	DE-BFL:LP-DIR-LT:LP-DIR-T	10.1029/2003JB002581	Igneous	Intrusion	Intrusives	48.9410	271.5550	1108	1106	1110	Ma	0	ChRM	126.5	-61.8	r	1.4	32.6	11	53.1	193.1	39.0	50.5	Nipigon; M14 (Middleton et al. 2004)
Inspiration Sills	Nipigon Embayment	i	g	DE-BFL:LP-DIR-AF:LP-DIR-LT:LP-DIR-T	10.1016/j.precamres.2005.10.007	Igneous	Sill	Diabase	50.2940	270.9810	1108	1106	1110	Ma	0	ChRM	102.1	-70.3	r	40.8	4.0	30	44.7	217.8	6.0	6.9	Nipigon; IS (Borradaile & Middleton 2006)
Kama Hill	Nipigon Embayment	i	g	DE-BFL:DE-BLANKET:LP-DIR-AF:LP-DIR-AF-BLANKET:LP-DIR-T	10.1139/e71-125:10.17741/bgsf/51.1-2.004	Igneous	Sill	Diabase	48.9896	271.9830	1108	1106	1110	Ma	0	ChRM	88.5	-68.8	r	66.0	31.3	10	36.6	223.5	44.9	53.0	Nipigon; 2 determinations merged (R47:S14; Pesonen, 1979; Robertson and Fahrig, 1971)
N16-18	Nipigon Embayment	i	g	DE-BLANKET:LP-DIR-AF-BLANKET	10.4095/100589	Igneous	Sill	Diabase	48.9039	271.6220	1108	1106	1110	Ma	0	ChRM	115.0	-68.1	r	83.3	10.1	4	49.6	210.4	14.3	17.0	Nipigon; N16-18 (DuBois, 1962)
