tab	sites
age	age_high	age_low	age_unit	citations	description	dir_alpha95	dir_dec	dir_inc	dir_k	dir_n_samples	dir_polarity	dir_tilt_correction	geologic_classes	geologic_types	lat	lithologies	location	lon	method_codes	result_quality	result_type	site	vgp_lat	vgp_lon
1108.0	1110.0	1105.15	Ma	10.1002/2013gc005180	SI1(11.8 to 26.4)	2.7	79.7	-70.5	384.08779149519887	7.0	r	100	Extrusive:Igneous	Lava Flow	48.8122	Basalt	Osler reverse lower	272.338	DE-FM:LP-DC4:LP-DIR-AF	g	i	SI1(11.8 to 26.4)	33.1	229.6
1108.0	1110.0	1105.15	Ma	10.1002/2013gc005180	SI1(116.3 to 118.8)	6.4	74.1	-70.3	79.75260416666664	6.0	r	100	Extrusive:Igneous	Lava Flow	48.8062	Basalt	Osler reverse lower	272.3366	DE-FM:LP-DC4:LP-DIR-AF	g	i	SI1(116.3 to 118.8)	30.4	231.8
1108.0	1110.0	1105.15	Ma	10.1002/2013gc005180	SI1(119.7 to 122.1)	6.8	87.5	-68.9	84.77508650519033	5.0	r	100	Extrusive:Igneous	Lava Flow	48.806	Basalt	Osler reverse lower	272.3366	DE-FM:LP-DC4:LP-DIR-AF	g	i	SI1(119.7 to 122.1)	35.3	223.9
1108.0	1110.0	1105.15	Ma	10.1002/2013gc005180	SI1(122.1 to 123.7)	4.9	75.7	-69.1	136.05442176870744	6.0	r	100	Extrusive:Igneous	Lava Flow	48.8058	Basalt	Osler reverse lower	272.3367	DE-FM:LP-DC4:LP-DIR-AF	g	i	SI1(122.1 to 123.7)	30.0	229.6
1108.0	1110.0	1105.15	Ma	10.1002/2013gc005180	SI1(28.3 to 29.2)	3.9	109.8	-66.8	184.08941485864563	7.0	r	100	Extrusive:Igneous	Lava Flow	48.8107	Basalt	Osler reverse lower	272.3377	DE-FM:LP-DC4:LP-DIR-AF	g	i	SI1(28.3 to 29.2)	45.8	210.9
1108.0	1110.0	1105.15	Ma	10.1002/2013gc005180	SI1(29.2 to 29.7)	5.7	99.7	-66.2	201.08751410690468	3.0	r	100	Extrusive:Igneous	Lava Flow	48.8104	Basalt	Osler reverse lower	272.3378	DE-FM:LP-DC4:LP-DIR-AF	g	i	SI1(29.2 to 29.7)	39.6	214.5
1108.0	1110.0	1105.15	Ma	10.1002/2013gc005180	SI1(33.3 to 37.1)	7.7	92.6	-68.1	66.11570247933884	5.0	r	100	Extrusive:Igneous	Lava Flow	48.81	Basalt	Osler reverse lower	272.3377	DE-FM:LP-DC4:LP-DIR-AF	g	i	SI1(33.3 to 37.1)	37.2	220.5
1108.0	1110.0	1105.15	Ma	10.1002/2013gc005180	SI1(40.6 to 42.5)	3.5	85.4	-73.3	266.6666666666667	6.0	r	100	Extrusive:Igneous	Lava Flow	48.8095	Basalt	Osler reverse lower	272.3374	DE-FM:LP-DC4:LP-DIR-AF	g	i	SI1(40.6 to 42.5)	38.2	231.6
1108.0	1110.0	1105.15	Ma	10.1002/2013gc005180	SI1(42.5 to 44.4)	4.5	77.8	-63.5	161.31687242798355	6.0	r	100	Extrusive:Igneous	Lava Flow	48.8095	Basalt	Osler reverse lower	272.3373	DE-FM:LP-DC4:LP-DIR-AF	g	i	SI1(42.5 to 44.4)	25.8	222.3
1108.0	1110.0	1105.15	Ma	10.1002/2013gc005180	SI1(58.1 to 64.1)	8.7	86.1	-64.4	51.790196855595205	5.0	r	100	Extrusive:Igneous	Lava Flow	48.8086	Basalt	Osler reverse lower	272.3378	DE-FM:LP-DC4:LP-DIR-AF	g	i	SI1(58.1 to 64.1)	30.8	218.8
1108.0	1110.0	1105.15	Ma	10.1002/2013gc005180	SI1(87.6 to 88.5)	1.9	89.9	-71.9	904.8938134810711	6.0	r	100	Extrusive:Igneous	Lava Flow	48.8073	Basalt	Osler reverse lower	272.338	DE-FM:LP-DC4:LP-DIR-AF	g	i	SI1(87.6 to 88.5)	39.0	227.7
1108.0	1110.0	1105.15	Ma	10.1002/2013gc005180	SI1(88.5 to 89.2)	5.0	88.9	-70.0	156.8	5.0	r	100	Extrusive:Igneous	Lava Flow	48.8071	Basalt	Osler reverse lower	272.3381	DE-FM:LP-DC4:LP-DIR-AF	g	i	SI1(88.5 to 89.2)	36.9	224.9
1108.0	1110.0	1105.15	Ma	10.1002/2013gc005180	SI1(89.2 to 91.5)	7.6	87.0	-67.2	67.86703601108033	5.0	r	100	Extrusive:Igneous	Lava Flow	48.807	Basalt	Osler reverse lower	272.3382	DE-FM:LP-DC4:LP-DIR-AF	g	i	SI1(89.2 to 91.5)	33.6	221.8
1108.0	1110.0	1105.15	Ma	10.1002/2013gc005180	SI1(91.5 to 92.6)	3.0	82.8	-68.5	362.962962962963	6.0	r	100	Extrusive:Igneous	Lava Flow	48.8069	Basalt	Osler reverse lower	272.3382	DE-FM:LP-DC4:LP-DIR-AF	g	i	SI1(91.5 to 92.6)	32.7	225.5
1108.0	1110.0	1105.15	Ma	10.1002/2013gc005180	SI1(94.3 to 94.9)	4.3	94.1	-74.4	212.00648999459167	5.0	r	100	Extrusive:Igneous	Lava Flow	48.8068	Basalt	Osler reverse lower	272.338	DE-FM:LP-DC4:LP-DIR-AF	g	i	SI1(94.3 to 94.9)	42.8	230.8
1108.0	1110.0	1105.15	Ma	10.1002/2013gc005180	SI1(94.9 to 96.6)	2.3	79.1	-75.0	741.0207939508507	5.0	r	100	Extrusive:Igneous	Lava Flow	48.8066	Basalt	Osler reverse lower	272.3379	DE-FM:LP-DC4:LP-DIR-AF	g	i	SI1(94.9 to 96.6)	37.2	236.6
1108.0	1110.0	1105.15	Ma	10.1002/2013gc005180	SI2a(1.1 to 1.6)	4.1	117.1	-58.1	194.32877255601827	6.0	r	100	Extrusive:Igneous	Lava Flow	48.7943	Basalt	Osler reverse lower	272.3444	DE-FM:LP-DC4:LP-DIR-AF	g	i	SI2a(1.1 to 1.6)	44.8	194.2
1108.0	1110.0	1105.15	Ma	10.1002/2013gc005180	SI2a(10.2 to 12.8)	4.8	152.3	-68.8	141.78240740740742	6.0	r	100	Extrusive:Igneous	Lava Flow	48.794	Basalt	Osler reverse lower	272.3445	DE-FM:LP-DC4:LP-DIR-AF	g	i	SI2a(10.2 to 12.8)	72.2	203.7
1108.0	1110.0	1105.15	Ma	10.1002/2013gc005180	SI2b(10.5 to 10.6)	4.4	107.4	-67.3	202.47933884297518	5.0	r	100	Extrusive:Igneous	Lava Flow	48.7916	Basalt	Osler reverse lower	272.3461	DE-FM:LP-DC4:LP-DIR-AF	g	i	SI2b(10.5 to 10.6)	44.7	212.8
