tab	sites
site	location	result_type	result_quality	method_codes	citations	geologic_classes	geologic_types	lithologies	lat	lon	age	age_sigma	age_unit	dir_tilt_correction	dir_dec	dir_inc	dir_alpha95	dir_k	dir_n_samples	dir_polarity	description	vgp_lon	vgp_lat	vgp_dp	vgp_dm
A1-1	southern Superior Province	i	g	LP-DIR-AF:DE-BFL:DE-FM	10.1139/e93-167	Igneous	Volcanic Dike	Monzogabbro	49.459	274.375	2167.0		Ma	0	95.3	-49.0	17.1	30.0	4	r	Dyke A1: Shown by Halls et al. 2005 to be Biscotasing swarm	21.3	-25.5	14.9	22.6
A3-3	southern Superior Province	i	g	LP-DIR-T:DE-BFL:DE-FM	10.1139/e93-167	Igneous	Volcanic Dike	Olivine Gabbro	48.205	275.155	1140.6	1.0	Ma	0	305.0	58.5	4.4	230.0	6	n	Dyke A3: age from Krogh et al. 1987	193.2	50.1	4.8	6.5
A3-4	southern Superior Province	i	g	LP-DIR-T:DE-BFL:DE-FM	10.1139/e93-167	Igneous	Volcanic Dike	Olivine Gabbro	48.233	275.183	1140.6	1.0	Ma	0	288.7	50.8	6.8	98.0	6	n	Dyke A3: age from Krogh et al. 1987	195.3	34.9	6.2	9.2
A4-6	southern Superior Province	i	g	LP-DIR-AF:DE-BFL:DE-FM	10.1139/e93-167	Igneous	Volcanic Dike	Olivine Gabbro	48.387	278.702	1140.6	1.0	Ma	0	124.7	-71.4	5.3	129.0	7	r	Dyke A4: age from Krogh et al. 1987	43.0	-56.2	8.1	9.3
A4-7	southern Superior Province	i	g	LP-DIR-AF:DE-BFL:DE-FM	10.1139/e93-167	Igneous	Volcanic Dike	Olivine Gabbro	48.533	279.063	1140.6	1.0	Ma	0	127.1	-72.0	4.9	154.0	7	r	Dyke A4: age from Krogh et al. 1987	44.5	-57.8	7.6	8.6
A5-9	southern Superior Province	i	g	LP-DIR-AF:DE-BFL:DE-FM	10.1139/e93-167	Igneous	Volcanic Dike	Olivine Gabbro	48.218	278.168	1140.6	1.0	Ma	0	313.6	49.1	6.7	131.0	5	n	Dyke A5: age from Krogh et al. 1987	178.0	50.4	5.9	8.9
A5-10	southern Superior Province	i	g	LP-DIR-AF:DE-BFL:DE-FM	10.1139/e93-167	Igneous	Volcanic Dike	Olivine Gabbro	48.415	278.798	1140.6	1.0	Ma	0	316.7	66.5	11.9	42.0	5	n	Dyke A5: age from Krogh et al. 1987	206.5	61.8	16.1	19.6
A5-11	southern Superior Province	i	g	LP-DIR-AF:DE-BFL:DE-FM	10.1139/e93-167	Igneous	Volcanic Dike	Olivine Gabbro	48.429	278.825	1140.6	1.0	Ma	0	304.3	54.6	7.6	55.0	8	n	Dyke A5: age from Krogh et al. 1987	192.0	47.4	7.6	10.7
A5-12	southern Superior Province	i	g	LP-DIR-AF:DE-BFL:DE-FM	10.1139/e93-167	Igneous	Volcanic Dike	Olivine Gabbro	48.441	278.883	1140.6	1.0	Ma	0	306.0	67.2	9.5	42.0	7	n	Dyke A5: age from Krogh et al. 1987	212.2	55.5	13.1	15.8
A6_1-13	southern Superior Province	i	g	LP-DIR-AF:DE-BFL:DE-FM	10.1139/e93-167	Igneous	Volcanic Dike	Olivine Gabbro	47.878	277.38	1140.6	1.0	Ma	0	275.0	65.2	5.2	115.0	8	n	Dyke A6 unit 1: age from Krogh et al. 1987	221.0	35.8	6.8	8.4
