tab delimited	sites
site	location	result_type	result_quality	method_codes	citations	geologic_classes	geologic_types	lithologies	lat	lon	age	age_sigma	age_low	age_high	age_unit	dir_tilt_correction	dir_dec	dir_inc	dir_k	dir_alpha95	dir_n_samples	vgp_lat	vgp_lon	vgp_dp	vgp_dm	description
16	North Qoroq Intrusion	i	g	DE-FM	Piper1992NorthQoroq	Igneous	Plutonic	Syenite			1275		1274	1276	Ma	0	293	4	20	16	6					Site-mean directions from Piper (1992), Table 3. The excluded site 25 and alternate component 37(a) are not included.
17	North Qoroq Intrusion	i	g	DE-FM	Piper1992NorthQoroq	Igneous	Plutonic	Syenite			1275		1274	1276	Ma	0	308	4	9	27	5					Site-mean directions from Piper (1992), Table 3. The excluded site 25 and alternate component 37(a) are not included.
22	North Qoroq Intrusion	i	g	DE-FM	Piper1992NorthQoroq	Igneous	Plutonic	Syenite			1275		1274	1276	Ma	0	90	-15	23	26	3					Site-mean directions from Piper (1992), Table 3. The excluded site 25 and alternate component 37(a) are not included.
23	North Qoroq Intrusion	i	g	DE-FM	Piper1992NorthQoroq	Igneous	Plutonic	Syenite			1275		1274	1276	Ma	0	285	4	15	21	5					Site-mean directions from Piper (1992), Table 3. The excluded site 25 and alternate component 37(a) are not included.
27	North Qoroq Intrusion	i	g	DE-FM	Piper1992NorthQoroq	Igneous	Plutonic	Syenite			1275		1274	1276	Ma	0	319	-4	14	25	4					Site-mean directions from Piper (1992), Table 3. The excluded site 25 and alternate component 37(a) are not included.
29	North Qoroq Intrusion	i	g	DE-FM	Piper1992NorthQoroq	Igneous	Plutonic	Syenite			1275		1274	1276	Ma	0	268	10	34	13	5					Site-mean directions from Piper (1992), Table 3. The excluded site 25 and alternate component 37(a) are not included.
31	North Qoroq Intrusion	i	g	DE-FM	Piper1992NorthQoroq	Igneous	Plutonic	Syenite			1275		1274	1276	Ma	0	313	-3	22	2	8					Site-mean directions from Piper (1992), Table 3. The excluded site 25 and alternate component 37(a) are not included.
32	North Qoroq Intrusion	i	g	DE-FM	Piper1992NorthQoroq	Igneous	Plutonic	Syenite			1275		1274	1276	Ma	0	313	-1	74	9	5					Site-mean directions from Piper (1992), Table 3. The excluded site 25 and alternate component 37(a) are not included.
34	North Qoroq Intrusion	i	g	DE-FM	Piper1992NorthQoroq	Igneous	Plutonic	Syenite			1275		1274	1276	Ma	0	312	5	30	12	6					Site-mean directions from Piper (1992), Table 3. The excluded site 25 and alternate component 37(a) are not included.
36	North Qoroq Intrusion	i	g	DE-FM	Piper1992NorthQoroq	Igneous	Plutonic	Syenite			1275		1274	1276	Ma	0	300	24	17	17	6					Site-mean directions from Piper (1992), Table 3. The excluded site 25 and alternate component 37(a) are not included.
37b	North Qoroq Intrusion	i	g	DE-FM	Piper1992NorthQoroq	Igneous	Plutonic	Syenite			1275		1274	1276	Ma	0	296	-3	11	24	5					Site-mean directions from Piper (1992), Table 3. The excluded site 25 and alternate component 37(a) are not included.
40	North Qoroq Intrusion	i	g	DE-FM	Piper1992NorthQoroq	Igneous	Plutonic	Syenite			1275		1274	1276	Ma	0	269	-18	58	8	7					Site-mean directions from Piper (1992), Table 3. The excluded site 25 and alternate component 37(a) are not included.
