tab	sites
age	age_high	age_low	age_sigma	age_unit	citations	description	dir_alpha95	dir_dec	dir_inc	dir_k	dir_n_samples	dir_tilt_correction	geologic_classes	geologic_types	lat	lithologies	location	lon	method_codes	result_quality	result_type	site	vgp_dm	vgp_dp	vgp_lat	vgp_lon
1382	1384	1380		Ma	10.1111/j.1365-246x.1983.tb03321.x	ED: Site mean recomputed after omitting samples with orientation errors or strong alteration; Site lat/lon = formation-mean coordinates (Marcussen & Abrahamsen 1983, Table 2 footnote); per-site coordinates not reported	1.8	91.2	-14.3	801	9	100	igneous	Lava Flow	81.2	Basalt	Zig-Zag Dal Basalt Formation	334.8	LP-AF:DE-BLANKET:DE-FM	g	i	BA-01	1.8	0.9	-7.3	64.8
1382	1384	1380		Ma	10.1111/j.1365-246x.1983.tb03321.x	ED: Site mean recomputed after omitting samples with orientation errors or strong alteration; Site lat/lon = formation-mean coordinates (Marcussen & Abrahamsen 1983, Table 2 footnote); per-site coordinates not reported	2.4	92.4	-15.0	461	9	100	igneous	Lava Flow	81.2	Basalt	Zig-Zag Dal Basalt Formation	334.8	LP-AF:DE-BLANKET:DE-FM	g	i	BA-02	2.4	1.3	-7.9	63.8
1382	1384	1380		Ma	10.1111/j.1365-246x.1983.tb03321.x	Site lat/lon = formation-mean coordinates (Marcussen & Abrahamsen 1983, Table 2 footnote); per-site coordinates not reported	2.3	94.1	-23.8	419	9	100	igneous	Lava Flow	81.2	Basalt	Zig-Zag Dal Basalt Formation	334.8	LP-AF:DE-BLANKET:DE-FM	g	i	BA-03	2.7	1.4	-12.9	62.8
1382	1384	1380		Ma	10.1111/j.1365-246x.1983.tb03321.x	ED: Site mean recomputed after omitting samples with orientation errors or strong alteration; Site lat/lon = formation-mean coordinates (Marcussen & Abrahamsen 1983, Table 2 footnote); per-site coordinates not reported	2.0	91.7	-24.0	677	9	100	igneous	Lava Flow	81.2	Basalt	Zig-Zag Dal Basalt Formation	334.8	LP-AF:DE-BLANKET:DE-FM	g	i	BA-04	2.1	1.1	-12.6	65.2
1382	1384	1380		Ma	10.1111/j.1365-246x.1983.tb03321.x	Site lat/lon = formation-mean coordinates (Marcussen & Abrahamsen 1983, Table 2 footnote); per-site coordinates not reported	2.2	93.9	-22.8	496	10	100	igneous	Lava Flow	81.2	Basalt	Zig-Zag Dal Basalt Formation	334.8	LP-AF:DE-BLANKET:DE-FM	g	i	BA-05	2.3	1.2	-12.3	63.0
1382	1384	1380		Ma	10.1111/j.1365-246x.1983.tb03321.x	BEST: per-specimen most-stable directions selected via Stupavsky-Symons PSI index; Site lat/lon = formation-mean coordinates (Marcussen & Abrahamsen 1983, Table 2 footnote); per-site coordinates not reported	11.1	87.5	-19.7	38	6	100	igneous	Lava Flow	81.2	Basalt	Zig-Zag Dal Basalt Formation	334.8	LP-AF:DE-BLANKET:DE-FM	g	i	BA-06	11.6	6.1	-9.6	69.0
1382	1384	1380		Ma	10.1111/j.1365-246x.1983.tb03321.x	BEST: per-specimen most-stable directions selected via Stupavsky-Symons PSI index; Site lat/lon = formation-mean coordinates (Marcussen & Abrahamsen 1983, Table 2 footnote); per-site coordinates not reported	3.0	97.0	-6.4	298	9	100	igneous	Lava Flow	81.2	Basalt	Zig-Zag Dal Basalt Formation	334.8	LP-AF:DE-BLANKET:DE-FM	g	i	BA-09	3.0	1.5	-4.2	58.6
1382	1384	1380		Ma	10.1111/j.1365-246x.1983.tb03321.x	BEST: per-specimen most-stable directions selected via Stupavsky-Symons PSI index; Site lat/lon = formation-mean coordinates (Marcussen & Abrahamsen 1983, Table 2 footnote); per-site coordinates not reported	3.1	102.7	-9.7	327	8	100	igneous	Lava Flow	81.2	Basalt	Zig-Zag Dal Basalt Formation	334.8	LP-AF:DE-BLANKET:DE-FM	g	i	BA-10	3.1	1.6	-6.7	53.2
1382	1384	1380		Ma	10.1111/j.1365-246x.1983.tb03321.x	Site lat/lon = formation-mean coordinates (Marcussen & Abrahamsen 1983, Table 2 footnote); per-site coordinates not reported	0.8	97.7	-25.8	4037	9	100	igneous	Lava Flow	81.2	Basalt	Zig-Zag Dal Basalt Formation	334.8	LP-AF:DE-BLANKET:DE-FM	g	i	BA-11	0.9	0.5	-14.5	59.5
1382	1384	1380		Ma	10.1111/j.1365-246x.1983.tb03321.x	BEST: per-specimen most-stable directions selected via Stupavsky-Symons PSI index; Site lat/lon = formation-mean coordinates (Marcussen & Abrahamsen 1983, Table 2 footnote); per-site coordinates not reported	20.4	90.4	-15.2	12	6	100	igneous	Lava Flow	81.2	Basalt	Zig-Zag Dal Basalt Formation	334.8	LP-AF:DE-BLANKET:DE-FM	g	i	BA-14	20.9	10.8	-7.7	65.4
