tab delimited	sites
site	location	result_type	result_quality	method_codes	citations	geologic_classes	geologic_types	lithologies	lat	lon	age	age_sigma	age_low	age_high	age_unit	dir_tilt_correction	dir_dec	dir_inc	dir_k	dir_alpha95	dir_n_samples	vgp_lat	vgp_lon	vgp_dp	vgp_dm	description
7	Western Channel Diabase, Great Bear Lake-west side, NWT	i	g	LP-DIR-AF:DE-FM	10.1139/e72-080	Intrusive	Sill	Diabase	66.36	242.39			1589	1594.8	Ma	0	352	-56	133.3		5	13	249			k calculated from R and N, sheets (sills)
12	Western Channel Diabase, Great Bear Lake-west side, NWT	i	b	LP-DIR-AF:DE-FM	10.1139/e72-080	Intrusive	Sill	Diabase	66.34	242.32			1589	1594.8	Ma	0	11	-60	66.7		3					k calculated from R and N, sheets (sills) [excluded: subsumed into site mean]
12c	Western Channel Diabase, Great Bear Lake-west side, NWT	i	b	LP-DIR-AF:LP-DIR-T:DE-FM	10.1139/e72-080	Extrusive	Lava Flow	Porphyritic Basalt	66.34	242.32			1589	1594.8	Ma	0	13	-63	200		3					k calculated from R and N, contact rock [excluded: subsumed into site mean]
12mean	Western Channel Diabase, Great Bear Lake-west side, NWT	i	g	LP-DIR-AF:LP-DIR-T:DE-FM	10.1139/e72-080	Intrusive:Extrusive	Sill:Lava Flow	Diabase:Porphyritic Basalt	66.34	242.32			1589	1594.8	Ma	0	12	-61	125		6	19	233			k calculated from R and N, mean
13	Western Channel Diabase, Great Bear Lake-west side, NWT	i	g	LP-DIR-AF:DE-FM	10.1139/e72-080	Intrusive	Sill	Diabase	66.33	242.3			1589	1594.8	Ma	0	355	-53	66.7		3	10	246			k calculated from R and N, sheets (sills)
14	Western Channel Diabase, Great Bear Lake-west side, NWT	i	b	LP-DIR-AF:DE-FM	10.1139/e72-080	Intrusive	Sill	Diabase	66.34	242.28			1589	1594.8	Ma	0	355	-60	50		3					k calculated from R and N, sheets (sills) [excluded: subsumed into site mean]
14c	Western Channel Diabase, Great Bear Lake-west side, NWT	i	b	LP-DIR-AF:LP-DIR-T:DE-FM	10.1139/e72-080	Sedimentary	Burnt Sediment	Baked Sediment	66.34	242.28			1589	1594.8	Ma	0	348	-60	200		3					k calculated from R and N, contact rock [excluded: subsumed into site mean]
14mean	Western Channel Diabase, Great Bear Lake-west side, NWT	i	g	LP-DIR-AF:LP-DIR-T:DE-FM	10.1139/e72-080	Intrusive:Sedimentary	Sill:Burnt Sediment	Diabase:Baked Sediment	66.34	242.28			1589	1594.8	Ma	0	351	-60	100		6	18	249			k calculated from R and N, mean
15	Western Channel Diabase, Great Bear Lake-west side, NWT	i	g	LP-DIR-AF:DE-FM	10.1139/e72-080	Intrusive	Sill	Diabase	66.35	242.26			1589	1594.8	Ma	0	3	-56	66.7		3	13	240			k calculated from R and N, sheets (sills)
25	Western Channel Diabase, Great Bear Lake-west side, NWT	i	g	LP-DIR-AF:DE-FM	10.1139/e72-080	Intrusive	Sill	Diabase	66.24	242.34			1589	1594.8	Ma	0	355	-53	66.7		3	10	247			k calculated from R and N, sheets (sills)
