tab 	sites
age	age_high	age_low	age_sigma	age_unit	citations	description	dir_alpha95	dir_dec	dir_inc	dir_k	dir_n_samples	dir_n_specimens	dir_polarity	dir_tilt_correction	geologic_classes	geologic_types	lat	lithologies	location	lon	method_codes	result_quality	result_type	site	vgp_dm	vgp_dp	vgp_lat	vgp_lon
	1745	1736		Ma	10.1016/j.precamres.2003.10.002	Cleaver dyke	6.0	132.1	64.6	53.0	6	12	n	0	Intrusive	Volcanic Dike	65.72	Diabase	Cleaver Dykes	241.87	LP-DIR-AF:LP-DIR-T:DE-BFL:DE-FM:DA-DIR-GEO	g	i	5	9.6	7.7	28.1	277.3
	1745	1736		Ma	10.1016/j.precamres.2003.10.002	Cleaver dyke	7.9	168.0	65.3	39.0	5	10	n	0	Intrusive	Volcanic Dike	65.72	Diabase	Cleaver Dykes	241.92	LP-DIR-AF:LP-DIR-T:DE-BFL:DE-FM:DA-DIR-GEO	g	i	6	12.8	10.4	23.5	250.7
	1745	1736		Ma	10.1016/j.precamres.2003.10.002	Cleaver dyke	4.2	147.2	51.3	117.0	6	11	n	0	Intrusive	Volcanic Dike	65.7	Diabase	Cleaver Dykes	241.87	LP-DIR-AF:LP-DIR-T:DE-BFL:DE-FM:DA-DIR-GEO	g	i	8	5.7	3.9	10.9	269.8
	1745	1736		Ma	10.1016/j.precamres.2003.10.002	Cleaver dyke	4.2	143.5	49.7	107.0	6	12	n	0	Intrusive	Volcanic Dike	65.68	Diabase	Cleaver Dykes	241.85	LP-DIR-AF:LP-DIR-T:DE-BFL:DE-FM:DA-DIR-GEO	g	i	9	5.6	3.7	10.2	273.2
	1745	1736		Ma	10.1016/j.precamres.2003.10.002	Cleaver dyke	5.4	143.4	68.4	67.0	6	12	n	0	Intrusive	Volcanic Dike	65.63	Diabase	Cleaver Dykes	242.12	LP-DIR-AF:LP-DIR-T:DE-BFL:DE-FM:DA-DIR-GEO	g	i	10	9.1	7.7	30.6	267.6
	1745	1736		Ma	10.1016/j.precamres.2003.10.002	Cleaver dyke	3.3	126.2	56.8	177.0	6	12	n	0	Intrusive	Volcanic Dike	65.62	Diabase	Cleaver Dykes	241.98	LP-DIR-AF:LP-DIR-T:DE-BFL:DE-FM:DA-DIR-GEO	g	i	15	4.8	3.5	21.1	285.4
	1745	1736		Ma	10.1016/j.precamres.2003.10.002	Cleaver dyke	4.5	141.5	53.0	118.0	6	10	n	0	Intrusive	Volcanic Dike	65.79	Diabase	Cleaver Dykes	241.92	LP-DIR-AF:LP-DIR-T:DE-BFL:DE-FM:DA-DIR-GEO	g	i	18	6.2	4.3	13.7	274.2
	1745	1736		Ma	10.1016/j.precamres.2003.10.002	Cleaver dyke	9.7	116.9	52.6	33.0	6	8	n	0	Intrusive	Volcanic Dike	65.79	Diabase	Cleaver Dykes	241.93	LP-DIR-AF:LP-DIR-T:DE-BFL:DE-FM:DA-DIR-GEO	g	i	19	13.4	9.2	20.1	294.6
	1745	1736		Ma	10.1016/j.precamres.2003.10.002	Cleaver dyke	3.6	162.0	52.9	143.0	6	12	n	0	Intrusive	Volcanic Dike	65.7	Diabase	Cleaver Dykes	241.93	LP-DIR-AF:LP-DIR-T:DE-BFL:DE-FM:DA-DIR-GEO	g	i	21	5.0	3.4	10.1	257.1
	1745	1736		Ma	10.1016/j.precamres.2003.10.002	Cleaver dyke (baked-contact test against Labine tuff sites 32/33)	4.6	136.1	59.8	90.0	6	12	n	0	Intrusive	Volcanic Dike	65.7	Diabase	Cleaver Dykes	241.93	LP-DIR-AF:LP-DIR-T:DE-BFL:DE-FM:DA-DIR-GEO	g	i	22	6.9	5.2	21.7	276.4
