tab	specimens
aniso_f	aniso_l	aniso_p	aniso_s	aniso_s_n_measurements	aniso_t	aniso_type	azimuth	citations	contribution_id	critical_temp	critical_temp_high	critical_temp_low	critical_temp_mineral	critical_temp_type	description	dip	dir_comp	dir_dang	dir_dec	dir_inc	dir_mad_free	dir_n_comps	dir_n_measurements	dir_tilt_correction	experiments	hyst_bc	hyst_bc_offset	hyst_bcr	hyst_loop	hyst_mr_mass	hyst_ms_mass	hyst_xhf	igsn	igsn_parent	instrument_codes	int_corr	meas_orient_phi	meas_orient_theta	meas_step_max	meas_step_min	meas_step_unit	meas_temp	method_codes	mineral_type	rem_hirm_mass	rem_sratio	rem_sratio_back	rem_sratio_forward	result_quality	row_id	sample	software_packages	specimen	synthetic_alternatives	volume	weight
								This study									mc	2.8	159.7	62.5	1.0	1.0	5.0	-1.0	NED1-1b_LP-DIR-AF										hargrave 2018-09-21 18:45:36	u			0.04	0.025	T		LP-DIR-AF:DE-BFL:DA-DIR						g		NED1-1	pmagpy-4.2.25: demag_gui	NED1-1b			
								This study									mc	2.8	139.2	74.1	1.0	1.0	5.0	0.0	NED1-1b_LP-DIR-AF										hargrave 2018-09-21 18:45:36	u			0.04	0.025	T		LP-DIR-AF:DE-BFL:DA-DIR-GEO						g		NED1-1	pmagpy-4.2.25: demag_gui	NED1-1b			
								This study																																			LP-NOMAG								NED1-1		NED1-1b			
								This study									mc	3.4	164.1	66.9	0.4	1.0	7.0	-1.0	NED1-2b_LP-DIR-AF										hargrave 2018-09-21 19:30:31	u			0.04	0.02	T		LP-DIR-AF:DE-BFL:DA-DIR						g		NED1-2	pmagpy-4.2.25: demag_gui	NED1-2b			
								This study									mc	3.4	149.9	76.3	0.4	1.0	7.0	0.0	NED1-2b_LP-DIR-AF										hargrave 2018-09-21 19:30:31	u			0.04	0.02	T		LP-DIR-AF:DE-BFL:DA-DIR-GEO						g		NED1-2	pmagpy-4.2.25: demag_gui	NED1-2b			
								This study																																			LP-NOMAG								NED1-2		NED1-2b			
								This study									lc	24.6	214.6	74.9	6.3	2.0	6.0	-1.0	NED1-3b_LP-DIR-AF										hargrave 2018-09-21 20:16:19	u			0.005	0.0	T		LP-DIR-AF:DE-BFL:DA-DIR						g		NED1-3	pmagpy-4.2.25: demag_gui	NED1-3b			
								This study									mc	3.7	114.1	69.6	0.9	2.0	5.0	-1.0	NED1-3b_LP-DIR-AF										hargrave 2018-09-21 20:16:19	u			0.04	0.025	T		LP-DIR-AF:DE-BFL:DA-DIR						g		NED1-3	pmagpy-4.2.25: demag_gui	NED1-3b			
								This study									lc	24.6	9.1	81.2	6.3	2.0	6.0	0.0	NED1-3b_LP-DIR-AF										hargrave 2018-09-21 20:16:19	u			0.005	0.0	T		LP-DIR-AF:DE-BFL:DA-DIR-GEO						g		NED1-3	pmagpy-4.2.25: demag_gui	NED1-3b			
								This study									mc	3.7	154.6	70.4	0.9	2.0	5.0	0.0	NED1-3b_LP-DIR-AF										hargrave 2018-09-21 20:16:19	u			0.04	0.025	T		LP-DIR-AF:DE-BFL:DA-DIR-GEO						g		NED1-3	pmagpy-4.2.25: demag_gui	NED1-3b			
								This study																																			LP-NOMAG								NED1-3		NED1-3b			
								This study									lc	22.5	135.7	65.3	4.9	2.0	5.0	-1.0	NED1-4b_LP-DIR-AF										hargrave 2018-09-21 20:58:59	u			0.005	0.001	T		LP-DIR-AF:DE-BFL:DA-DIR						g		NED1-4	pmagpy-4.2.25: demag_gui	NED1-4b			
								This study									mc	4.3	179.4	56.9	0.4	2.0	8.0	-1.0	NED1-4b_LP-DIR-AF										hargrave 2018-09-21 20:58:59	u			0.05	0.0225	T		LP-DIR-AF:DE-BFL:DA-DIR						g		NED1-4	pmagpy-4.2.25: demag_gui	NED1-4b			
								This study									mc	4.3	153.7	73.9	0.4	2.0	8.0	0.0	NED1-4b_LP-DIR-AF										hargrave 2018-09-21 20:58:59	u			0.05	0.0225	T		LP-DIR-AF:DE-BFL:DA-DIR-GEO						g		NED1-4	pmagpy-4.2.25: demag_gui	NED1-4b			
								This study									lc	22.5	68.8	73.0	4.9	2.0	5.0	0.0	NED1-4b_LP-DIR-AF										hargrave 2018-09-21 20:58:59	u			0.005	0.001	T		LP-DIR-AF:DE-BFL:DA-DIR-GEO						g		NED1-4	pmagpy-4.2.25: demag_gui	NED1-4b			
								This study																																			LP-NOMAG								NED1-4		NED1-4b			
								This study									mc	8.6	212.7	56.0	1.5	2.0	4.0	-1.0	NED1-5b_LP-DIR-AF										hargrave 2018-09-21 21:43:56	u			0.04	0.0275	T		LP-DIR-AF:DE-BFL:DA-DIR						g		NED1-5	pmagpy-4.2.25: demag_gui	NED1-5b			
								This study									lc	39.1	171.6	30.3	3.0	2.0	4.0	-1.0	NED1-5b_LP-DIR-AF										hargrave 2018-09-21 21:43:56	u			0.003	0.0	T		LP-DIR-AF:DE-BFL:DA-DIR						g		NED1-5	pmagpy-4.2.25: demag_gui	NED1-5b			
								This study									lc	39.1	48.4	59.8	3.0	2.0	4.0	0.0	NED1-5b_LP-DIR-AF										hargrave 2018-09-21 21:43:56	u			0.003	0.0	T		LP-DIR-AF:DE-BFL:DA-DIR-GEO						g		NED1-5	pmagpy-4.2.25: demag_gui	NED1-5b			
								This study									mc	8.6	154.1	72.4	1.5	2.0	4.0	0.0	NED1-5b_LP-DIR-AF										hargrave 2018-09-21 21:43:56	u			0.04	0.0275	T		LP-DIR-AF:DE-BFL:DA-DIR-GEO						g		NED1-5	pmagpy-4.2.25: demag_gui	NED1-5b			
								This study																																			LP-NOMAG								NED1-5		NED1-5b			
								This study									mc	2.1	191.5	34.8	1.3	1.0	5.0	-1.0	NED1-6b_LP-DIR-AF										hargrave 2018-09-21 22:28:02	u			0.04	0.025	T		LP-DIR-AF:DE-BFL:DA-DIR						g		NED1-6	pmagpy-4.2.25: demag_gui	NED1-6b			
