tab 	sites
age	age_high	age_low	age_unit	citations	dir_alpha95	dir_comp_name	dir_dec	dir_inc	dir_k	dir_n_samples	dir_n_specimens	dir_n_specimens_lines	dir_n_specimens_planes	dir_polarity	dir_r	dir_tilt_correction	geologic_classes	geologic_types	height	lat	lithologies	location	lon	method_codes	result_quality	result_type	samples	site	software_packages	specimens	vgp_dm	vgp_dp	vgp_lat	vgp_lon
1779	1782	1776	Ma	This study	9.8	lc	46.4	70	62	5	5	5	0	n	4.9357	0	Intrusive	Diabase	0	45.53423	Diabase	ECMB	265.75804	LP-DIR-AF:DE-BFL:DA-DIR-GEO:LP-DC4:DE-FM	g	i	NED1-3:NED1-4:NED1-5:NED1-7:NED1-8	NED1	pmagpy-4.2.25: demag_gui.v.3.0	NED1-3b:NED1-4b:NED1-5b:NED1-7b:NED1-8b	16.9	14.5	59.5	322.8
1779	1782	1776	Ma	This study	2.8	mc	157.6	74.7	380	8	8	8	0	t	7.9816	0	Intrusive	Diabase	0	45.53423	Diabase	ECMB	265.75804	LP-DIR-AF:DE-BFL:DA-DIR-GEO:LP-DC4:DE-FM	g	i	NED1-1:NED1-2:NED1-3:NED1-4:NED1-5:NED1-6:NED1-7:NED1-8	NED1	pmagpy-4.2.25: demag_gui.v.3.0	NED1-1b:NED1-2b:NED1-3b:NED1-4b:NED1-5b:NED1-6b:NED1-7b:NED1-8b	5.1	4.6	18.4	276.9
1779	1782	1776	Ma	This study	41.6	lc	276.9	-51	3	8	8	8	0	t	5.4376	0	Intrusive	Diabase	0	45.53259	Diabase	ECMB	265.75742	LP-DIR-AF:DE-BFL:DA-DIR-GEO:LP-DC4:DE-FM	g	i	NED10-1:NED10-2:NED10-3:NED10-4:NED10-5:NED10-6:NED10-7:NED10-8	NED10	pmagpy-4.2.25: demag_gui.v.3.0	NED10-1b:NED10-2b:NED10-3b:NED10-4b:NED10-5b:NED10-6b:NED10-7b:NED10-8b	56.2	38	-17.7	148.2
1779	1782	1776	Ma	This study	3.7	mc	199.7	73.3	324	6	6	6	0	t	5.9846	0	Intrusive	Diabase	0	45.53259	Diabase	ECMB	265.75742	LP-DIR-AF:DE-BFL:DA-DIR-GEO:LP-DC4:DE-FM	g	i	NED10-3:NED10-4:NED10-5:NED10-6:NED10-7:NED10-8	NED10	pmagpy-4.2.25: demag_gui.v.3.0	NED10-3b:NED10-4b:NED10-5b:NED10-6b:NED10-7b:NED10-8b	6.6	5.9	15.8	255.4
1779	1782	1776	Ma	This study	12.6	hc	291.6	42.1	38	5	5	5	0	t	4.8935	0	Intrusive	Diabase	0	45.53252	Diabase	ECMB	265.75768	LP-DIR-AF:DE-BFL:DA-DIR-GEO:DE-BFL-A:LP-DC4:DE-FM	g	i	NED11-1:NED11-2:NED11-4:NED11-5:NED11-6	NED11	pmagpy-4.2.25: demag_gui.v.3.0	NED11-1b:NED11-2b:NED11-4b:NED11-5b:NED11-6b	15.5	9.5	31.9	179.1
1779	1782	1776	Ma	This study	29.7	lc	351.5	35.4	4	8	8	8	0	n	6.4193	0	Intrusive	Diabase	0	45.53252	Diabase	ECMB	265.75768	LP-DIR-AF:DE-BFL:DA-DIR-GEO:LP-DC4:DE-FM	g	i	NED11-1:NED11-2:NED11-3:NED11-4:NED11-5:NED11-6:NED11-7:NED11-8	NED11	pmagpy-4.2.25: demag_gui.v.3.0	NED11-1b:NED11-2b:NED11-3b:NED11-4b:NED11-5b:NED11-6b:NED11-7b:NED11-8b	34.3	19.8	63.1	103.7
1779	1782	1776	Ma	This study	3.1	mc	166.1	75.1	391	7	7	7	0	t	6.9847	0	Intrusive	Diabase	0	45.53252	Diabase	ECMB	265.75768	LP-DIR-AF:DE-BFL:DA-DIR-GEO:LP-DC4:DE-FM	g	i	NED11-2:NED11-3:NED11-4:NED11-5:NED11-6:NED11-7:NED11-8	NED11	pmagpy-4.2.25: demag_gui.v.3.0	NED11-2b:NED11-3b:NED11-4b:NED11-5b:NED11-6b:NED11-7b:NED11-8b	5.7	5.2	18.1	272.6
1779	1782	1776	Ma	This study	7.8	lc	325.6	39.6	52	8	8	8	0	n	7.8647	0	Intrusive	Diabase	0	45.53489	Diabase	ECMB	265.76076	LP-DIR-AF:DE-BFL:DA-DIR-GEO:LP-DC4:DE-FM	g	i	NED12-1:NED12-2:NED12-3:NED12-4:NED12-5:NED12-6:NED12-7:NED12-8	NED12	pmagpy-4.2.25: demag_gui.v.3.0	NED12-1b:NED12-2b:NED12-3b:NED12-4b:NED12-5b:NED12-6b:NED12-7b:NED12-8b	9.4	5.6	53.8	147.9
1779	1782	1776	Ma	This study	3.5	mc	179.5	73	374	6	6	6	0	t	5.9866	0	Intrusive	Diabase	0	45.53489	Diabase	ECMB	265.76076	LP-DIR-AF:DE-BFL:DA-DIR-GEO:LP-DC4:DE-FM	g	i	NED12-1:NED12-3:NED12-5:NED12-6:NED12-7:NED12-8	NED12	pmagpy-4.2.25: demag_gui.v.3.0	NED12-1b:NED12-3b:NED12-5b:NED12-6b:NED12-7b:NED12-8b	6.2	5.6	14.1	266.0
1779	1782	1776	Ma	This study	3.9	hc	277.2	36.3	291	6	6	6	0	t	5.9828	0	Intrusive	Diabase	0	45.53489	Diabase	ECMB	265.76076	LP-DIR-AF:DE-BFL-A:DA-DIR-GEO:LP-DC4:DE-FM	g	i	NED12-1:NED12-3:NED12-5:NED12-6:NED12-7:NED12-8	NED12	pmagpy-4.2.25: demag_gui.v.3.0	NED12-1b:NED12-3b:NED12-5b:NED12-6b:NED12-7b:NED12-8b	4.5	2.6	19.2	185.4
