tab	sites
site	location	dir_comp_name	result_type	result_quality	method_codes	citations	geologic_classes	geologic_types	lithologies	lat	lon	dir_tilt_correction	dir_dec	dir_inc	dir_k	dir_alpha95	dir_n_samples	vgp_lat	vgp_lon	age	age_unit
2A	Catoctin volcanic province	A	i	g	LP-DIR-T:LP-DIR-AF:DE-BFL:DE-FM:DE-VGP	10.1029/93JB01723	Extrusive:Igneous	Lava Flow	Basalt	38.5	281.8	0	191	-81	504.0	6.0	3	-56	118	568	Ma
2A	Catoctin volcanic province	A	i	g	LP-DIR-T:LP-DIR-AF:DE-BFL:DE-FM:DE-VGP	10.1029/93JB01723	Extrusive:Igneous	Lava Flow	Basalt	38.5	281.8	100	256	-74	504.0	6.0	3	-39	151	568	Ma
3A	Catoctin volcanic province	A	i	g	LP-DIR-T:LP-DIR-AF:DE-BFL:DE-FM:DE-VGP	10.1029/93JB01723	Extrusive:Igneous	Lava Flow	Basalt	38.5	281.8	0	289	52	154.0	6.0	6	-33	40	568	Ma
3A	Catoctin volcanic province	A	i	g	LP-DIR-T:LP-DIR-AF:DE-BFL:DE-FM:DE-VGP	10.1029/93JB01723	Extrusive:Igneous	Lava Flow	Basalt	38.5	281.8	100	281	80	154.0	6.0	6	-40	87	568	Ma
6A	Catoctin volcanic province	A	i	b	LP-DIR-T:LP-DIR-AF:DE-BFL:DE-FM:DE-VGP	10.1029/93JB01723	Extrusive:Igneous	Lava Flow	Basalt	38.5	281.8	0	41	-79			1	-21	97	568	Ma
6A	Catoctin volcanic province	A	i	b	LP-DIR-T:LP-DIR-AF:DE-BFL:DE-FM:DE-VGP	10.1029/93JB01723	Extrusive:Igneous	Lava Flow	Basalt	38.5	281.8	100	133	-80			1	-50	90	568	Ma
8A	Catoctin volcanic province	A	i	g	LP-DIR-T:LP-DIR-AF:DE-BFL:DE-FM:DE-VGP	10.1029/93JB01723	Extrusive:Igneous	Lava Flow	Basalt	38.5	281.8	0	164	89	43.0	8.0	6	-36	113	568	Ma
8A	Catoctin volcanic province	A	i	g	LP-DIR-T:LP-DIR-AF:DE-BFL:DE-FM:DE-VGP	10.1029/93JB01723	Extrusive:Igneous	Lava Flow	Basalt	38.5	281.8	100	164	89	43.0	8.0	6	-36	113	568	Ma
9A	Catoctin volcanic province	A	i	g	LP-DIR-T:LP-DIR-AF:DE-BFL:DE-FM:DE-VGP	10.1029/93JB01723	Extrusive:Igneous	Lava Flow	Basalt	38.5	281.8	0	55	80	334.0	5.0	5	-48	137	568	Ma
9A	Catoctin volcanic province	A	i	g	LP-DIR-T:LP-DIR-AF:DE-BFL:DE-FM:DE-VGP	10.1029/93JB01723	Extrusive:Igneous	Lava Flow	Basalt	38.5	281.8	100	86	76	334.0	5.0	5	-36	145	568	Ma
