tab delimited	sites
site	location	result_type	result_quality	method_codes	citations	geologic_classes	geologic_types	lithologies	lat	lon	age	age_sigma	age_unit	dir_tilt_correction	dir_comp_name	dir_dec	dir_inc	dir_k	dir_alpha95	dir_n_samples	dir_n_specimens	vgp_lat	vgp_lon	vgp_dp	vgp_dm	description
MB03	Baie des Moutons syenite (ChRM A)	i	g	LP-DIR-AF:LP-DIR-T:LT-LT-Z:DE-BFL:DE-BFP:DE-FM	10.1016/j.precamres.2011.02.004	Igneous	Pluton	Syenite	50.8073	301.0230	583.4	2.0	Ma	0	A	109.2	80.8	41.5	7.2	11	11	42.3	324.2	13.4	13.9	Baie des Moutons foliated grey syenite (unit 2); ChRM A, geographic coordinates (McCausland et al., 2011).
MB04	Baie des Moutons syenite (ChRM A)	i	g	LP-DIR-AF:LP-DIR-T:LT-LT-Z:DE-BFL:DE-BFP:DE-FM	10.1016/j.precamres.2011.02.004	Igneous	Pluton	Syenite	50.8108	301.0232	583.4	2.0	Ma	0	A	82.9	79.4	54.7	7.1	9	9	48.9	333.0	12.9	13.5	Baie des Moutons foliated grey syenite (unit 2); ChRM A, geographic coordinates (McCausland et al., 2011).
MB05	Baie des Moutons syenite (ChRM A)	i	g	LP-DIR-AF:LP-DIR-T:LT-LT-Z:DE-BFL:DE-BFP:DE-FM	10.1016/j.precamres.2011.02.004	Igneous	Pluton	Syenite	50.8113	301.0228	583.4	2.0	Ma	0	A	141.5	82.8	68.8	9.3	5	5	39.1	312.4	17.8	18.2	Baie des Moutons pink feldspar syenite (unit 1); ChRM A, geographic coordinates (McCausland et al., 2011).
MB15	Baie des Moutons syenite (ChRM A)	i	g	LP-DIR-AF:LP-DIR-T:LT-LT-Z:DE-BFL:DE-BFP:DE-FM	10.1016/j.precamres.2011.02.004	Igneous	Pluton	Syenite	50.7958	301.0063	583.4	2.0	Ma	0	A	94.5	64.4	10.8	19.1	5	5	31.7	355.2	24.4	30.5	Baie des Moutons grey syenite (great-circle site mean) (unit 2); ChRM A, geographic coordinates (McCausland et al., 2011).
MB19	Baie des Moutons syenite (ChRM A)	i	g	LP-DIR-AF:LP-DIR-T:LT-LT-Z:DE-BFL:DE-BFP:DE-FM	10.1016/j.precamres.2011.02.004	Igneous	Volcanic Dike	Aplite	50.8607	301.0055	583.4	2.0	Ma	0	A	46.4	73.6	46.1	11.4	5	5	62.8	354.4	18.4	20.5	Baie des Moutons aplite dyke (unit 1); ChRM A, geographic coordinates (McCausland et al., 2011).
MB25	Baie des Moutons syenite (ChRM A)	i	g	LP-DIR-AF:LP-DIR-T:LT-LT-Z:DE-BFL:DE-BFP:DE-FM	10.1016/j.precamres.2011.02.004	Igneous	Volcanic Dike	Aplite	50.9102	301.0412	583.4	2.0	Ma	0	A	78.7	79.7	62.9	9.7	5	5	50.5	332.8	17.7	18.5	Baie des Moutons aplite dyke and host (unit 2); ChRM A, geographic coordinates (McCausland et al., 2011).
MB26	Baie des Moutons syenite (ChRM A)	i	g	LP-DIR-AF:LP-DIR-T:LT-LT-Z:DE-BFL:DE-BFP:DE-FM	10.1016/j.precamres.2011.02.004	Igneous	Volcanic Dike	Mafic Dike	50.9102	301.0412	583.4	2.0	Ma	0	A	136.0	80.7	81.5	8.5	5	5	36.6	316.7	15.8	16.4	Baie des Moutons mafic dyke (unit 3); ChRM A, geographic coordinates (McCausland et al., 2011).
MB44	Baie des Moutons syenite (ChRM A)	i	g	LP-DIR-AF:LP-DIR-T:LT-LT-Z:DE-BFL:DE-BFP:DE-FM	10.1016/j.precamres.2011.02.004	Igneous	Pluton	Syenite	50.8282	301.0375	583.4	2.0	Ma	0	A	124.0	69.2	46.0	7.3	10	10	23.8	334.3	10.6	12.4	Baie des Moutons green syenite (Ar-Ar dated) (unit 1); ChRM A, geographic coordinates (McCausland et al., 2011).
MB06	Baie des Moutons syenite (ChRM B)	i	g	LP-DIR-AF:LP-DIR-T:LT-LT-Z:DE-BFL:DE-BFP:DE-FM	10.1016/j.precamres.2011.02.004	Igneous	Volcanic Dike	Aplite	50.8070	301.0085	583.4	2.0	Ma	0	B	183.8	-5.9	80.1	5.9	9	9	-42.0	295.9	3.0	5.9	Baie des Moutons aplite dyke (unit 1); ChRM B, geographic coordinates (McCausland et al., 2011).
MB11	Baie des Moutons syenite (ChRM B)	i	g	LP-DIR-AF:LP-DIR-T:LT-LT-Z:DE-BFL:DE-BFP:DE-FM	10.1016/j.precamres.2011.02.004	Igneous	Volcanic Dike	Syenite	50.7972	301.0108	583.4	2.0	Ma	0	B	162.8	-3.7	325.0	4.4	5	5	-38.9	323.3	2.2	4.4	Baie des Moutons red feldspar-porphyry dyke (dyke); ChRM B, geographic coordinates (McCausland et al., 2011).
MB12	Baie des Moutons syenite (ChRM B)	i	g	LP-DIR-AF:LP-DIR-T:LT-LT-Z:DE-BFL:DE-BFP:DE-FM	10.1016/j.precamres.2011.02.004	Igneous	Volcanic Dike	Syenite	50.7972	301.0108	583.4	2.0	Ma	0	B	163.2	23.7	92.1	9.1	5	5	-25.1	319.2	5.2	9.7	Baie des Moutons red feldspar-porphyry dyke (dyke); ChRM B, geographic coordinates (McCausland et al., 2011).
MB20	Baie des Moutons syenite (ChRM B)	i	g	LP-DIR-AF:LP-DIR-T:LT-LT-Z:DE-BFL:DE-BFP:DE-FM	10.1016/j.precamres.2011.02.004	Igneous	Pluton	Syenite	50.8367	301.0240	583.4	2.0	Ma	0	B	321.1	22.0	59.6	6.7	9	9	39.4	173.9	3.7	7.1	Baie des Moutons red syenite (reversed; Ar-Ar dated) (unit 3); ChRM B, geographic coordinates (McCausland et al., 2011).
MB36	Baie des Moutons syenite (ChRM B)	i	g	LP-DIR-AF:LP-DIR-T:LT-LT-Z:DE-BFL:DE-BFP:DE-FM	10.1016/j.precamres.2011.02.004	Igneous	Volcanic Dike	Syenite	50.8015	301.0138	583.4	2.0	Ma	0	B	173.1	9.7	25.8	10.3	9	9	-34.0	309.3	5.3	10.4	Baie des Moutons red feldspar-porphyry dyke (dyke); ChRM B, geographic coordinates (McCausland et al., 2011).
MB43	Baie des Moutons syenite (ChRM B)	i	g	LP-DIR-AF:LP-DIR-T:LT-LT-Z:DE-BFL:DE-BFP:DE-FM	10.1016/j.precamres.2011.02.004	Igneous	Volcanic Dike	Carbonatite	50.8413	301.0340	583.4	2.0	Ma	0	B	151.4	33.4	108.0	5.8	7	7	-16.5	329.3	3.8	6.6	Baie des Moutons ribbon carbonatite dyke (dyke); ChRM B, geographic coordinates (McCausland et al., 2011).
