tab	sites
site	location	result_type	result_quality	method_codes	citations	geologic_classes	geologic_types	lithologies	lat	lon	age_low	age_high	age_unit	bed_dip_direction	bed_dip	dir_tilt_correction	dir_dec	dir_inc	dir_k	dir_alpha95	dir_polarity	dir_n_samples	vgp_lat	vgp_lon	description
BB	Arctic Canada	i	g	FS-FD:FS-C:FS-LOC-GPS:LP-DC4:SP-MAGN:SP-HL:SC-MS:LP-X-T:LP-DIR-AF:SO-SM:DE-FM:DE-BFL	10.1139/E09-042	igneous	Volcanic Dike	Diabase	75.71694444	277.0161111	718.31	720.07	Ma	15.0	90.0	0	286.0	-18.0	91	5.4	n	9	-5.1	169.3	Diabase dike from Devon Island in Arctic Canada. Geochronology from Pu et al. (2022) 10.1126/sciadv.adc9430.
PH	Arctic Canada	i	b	FS-FD:FS-C:FS-LOC-GPS:LP-DC4:SP-MAGN:SP-HL:SC-MS:LP-X-T:LP-DIR-AF:SO-SM:DE-FM:DE-BFL	10.1139/E09-042	igneous	Volcanic Dike	Diabase	75.0	280.4	718.31	720.07	Ma	345.0	90.0	0	282.1	12.6	8	28.3	n	5	9.3	180.3	Diabase dike from Devon Island in Arctic Canada. Geochronology from Pu et al. (2022) 10.1126/sciadv.adc9430.
GR	Arctic Canada	i	g	FS-FD:FS-C:FS-LOC-GPS:LP-DC4:SP-MAGN:SP-HL:SC-MS:LP-X-T:LP-DIR-AF:SO-SM:LP-DIR-T:ST-C:DE-FM:DE-BFL	10.1139/E09-042	igneous	Volcanic Dike	Diabase	76.41916667	276.9827778	718.31	720.07	Ma	45.0	90.0	0	272.9	23.3	190	4.0	n	8	12.5	187.1	Diabase dike from Ellesmere Island in Arctic Canada. Geochronology from Pu et al. (2022) 10.1126/sciadv.adc9430. Used in baked contact field test.
BG	Arctic Canada	i	g	FS-FD:FS-C:FS-LOC-GPS:LP-DC4:SP-MAGN:SP-HL:SC-MS:LP-X-T:LP-DIR-AF:SO-SM:DE-FM:DE-BFL	10.1139/E09-042	igneous	Volcanic Dike	Diabase	75.58527778	279.8147222	718.31	720.07	Ma	0.0	90.0	0	271.3	34.5	24	12.6	n	7	18.7	193.4	Diabase dike from Devon Island in Arctic Canada. Geochronology from Pu et al. (2022) 10.1126/sciadv.adc9430.
BP	Arctic Canada	i	g	FS-FD:FS-C:FS-LOC-GPS:LP-DC4:SP-MAGN:SP-HL:SC-MS:LP-X-T:LP-DIR-AF:SO-SM:DE-FM:DE-BFL	10.1139/E09-042	igneous	Volcanic Dike	Diabase	75.76694444	278.6822222	718.31	720.07	Ma	355.0	90.0	0	279.2	-7.5	57	6.9	n	9	-1.4	178.8	Diabase dike from Devon Island in Arctic Canada. Geochronology from Pu et al. (2022) 10.1126/sciadv.adc9430.
BR	Arctic Canada	i	g	FS-FD:FS-C:FS-LOC-GPS:LP-DC4:SP-MAGN:SP-HL:SC-MS:LP-X-T:LP-DIR-AF:SO-SM:DE-FM:DE-BFL	10.1139/E09-042	igneous	Volcanic Dike	Diabase	75.46722222	278.4497222	718.31	720.07	Ma	5.0	90.0	0	282.6	-7.5	226	4.0	n	7	-0.5	175.3	Diabase dike from Devon Island in Arctic Canada. Geochronology from Pu et al. (2022) 10.1126/sciadv.adc9430.
EG	Arctic Canada	i	g	FS-FD:FS-C:FS-LOC-GPS:LP-DC4:SP-MAGN:SP-HL:SC-MS:LP-X-T:LP-DIR-AF:SO-SM:DE-FM:DE-BFL	10.1139/E09-042	igneous	Volcanic Dike	Diabase	75.81777778	277.9327778	718.31	720.07	Ma	345.0	90.0	0	280.1	24.8	134	5.2	n	7	15.1	181.4	Diabase dike from Devon Island in Arctic Canada. Geochronology from Pu et al. (2022) 10.1126/sciadv.adc9430.
LG	Arctic Canada	i	g	FS-FD:FS-C:FS-LOC-GPS:LP-DC4:SP-MAGN:SP-HL:SC-MS:LP-X-T:LP-DIR-AF:SO-SM:LP-DIR-T:DE-FM:DE-BFL	10.1139/E09-042	igneous	Volcanic Dike	Diabase	78.71833333	284.3166667	718.31	720.07	Ma	350.0	90.0	0	243.1	13.7	91	6.4	n	7	1.8	222.0	Diabase dike from Ellesmere Island in Arctic Canada. Geochronology from Pu et al. (2022) 10.1126/sciadv.adc9430.
CG	Arctic Canada	i	g	FS-FD:FS-C:FS-LOC-GPS:LP-DC4:SP-MAGN:SP-HL:SC-MS:LP-X-T:LP-DIR-AF:SO-SM:DE-FM:DE-BFL	10.1139/E09-042	igneous	Volcanic Dike	Diabase	78.28361111	282.8983333	718.31	720.07	Ma	10.0	90.0	0	251.9	1.8	46	9.0	n	7	-2.7	210.8	Diabase dike from Ellesmere Island in Arctic Canada. Geochronology from Pu et al. (2022) 10.1126/sciadv.adc9430.
CM	Arctic Canada	i	g	FS-FD:FS-C:FS-LOC-GPS:LP-DC4:SP-MAGN:SP-HL:SC-MS:LP-X-T:LP-DIR-AF:SO-MAG:LP-DIR-T:DE-FM:DE-BFL	10.1139/E09-042	igneous	Volcanic Dike	Diabase	74.63333333	279.5333333	718.31	720.07	Ma	310.0	90.0	0	282.5	1.7	55	9.1	n	7	4.2	177.7	Diabase dike from Devon Island in Arctic Canada. Geochronology from Pu et al. (2022) 10.1126/sciadv.adc9430.
EA	Arctic Canada	i	g	FS-FD:FS-C:FS-LOC-GPS:LP-DC4:SP-MAGN:SP-HL:SC-MS:LP-X-T:LP-DIR-AF:SO-MAG:DE-FM:DE-BFL	10.1139/E09-042	igneous	Volcanic Dike	Diabase	75.81777778	277.9313889	718.31	720.07	Ma	350.0	90.0	0	273.4	31.5	79	5.5	n	11	17.3	188.9	Diabase dike from Devon Island in Arctic Canada. Geochronology from Pu et al. (2022) 10.1126/sciadv.adc9430.
HM	Arctic Canada	i	g	FS-FD:FS-C:FS-LOC-GPS:LP-DC4:SP-MAGN:SP-HL:SC-MS:LP-X-T:LP-DIR-AF:SO-MAG:DE-FM:DE-BFL	10.1139/E09-042	igneous	Volcanic Dike	Diabase	74.63416667	279.7983333	718.31	720.07	Ma	350.0	90.0	0	244.2	-4.7	240	5.9	n	4	-8.9	214.2	Diabase dike from Devon Island in Arctic Canada. Geochronology from Pu et al. (2022) 10.1126/sciadv.adc9430.
PI	Arctic Canada	i	b	FS-FD:FS-C:FS-LOC-GPS:LP-DC4:SP-MAGN:SP-HL:SC-MS:LP-X-T:LP-DIR-AF:SO-MAG:DE-FM:DE-BFL	10.1139/E09-042	igneous	Volcanic Dike	Diabase	75.00111111	280.2327778	718.31	720.07	Ma	315.0	90.0	0	293.3	35.8	22	16.7	n	5	25.1	172.5	Diabase dike from Devon Island in Arctic Canada. Geochronology from Pu et al. (2022) 10.1126/sciadv.adc9430.
CW	Arctic Canada	i	b	FS-FD:FS-C:FS-LOC-GPS:LP-DC4:SP-MAGN:SP-HL:SC-MS:LP-X-T:LP-DIR-AF:SO-MAG:DE-FM:DE-BFL	10.1139/E09-042	igneous	Volcanic Dike	Diabase	74.46833333	278.1475	718.31	720.07	Ma	35.0	90.0	0	302.1	-0.2	6	35.4	n	5	8.2	157.0	Diabase dike from Devon Island in Arctic Canada. Geochronology from Pu et al. (2022) 10.1126/sciadv.adc9430.
SG2	Arctic Canada	i	g	FS-FD:FS-C:FS-LOC-GPS:LP-DC4:SP-MAGN:SP-HL:SC-MS:LP-X-T:LP-DIR-AF:SO-MAG:DE-FM:DE-BFL	10.1139/E09-042	igneous	Volcanic Dike	Diabase	75.7	276.0	718.31	720.07	Ma	35.0	90.0	0	101.2	-26.4	103	6.6	r	6	16.3	178.6	Diabase dike from Devon Island in Arctic Canada. Geochronology from Pu et al. (2022) 10.1126/sciadv.adc9430.
KL	Greenland	i	g	FS-FD:FS-C:FS-LOC-GPS:LP-DC4:SP-MAGN:SP-HL:SC-MS:LP-X-T:LP-DIR-AF:SO-SM:DE-FM:DE-BFL	10.1139/E09-042	igneous	Volcanic Dike	Diabase	78.68333333	289.3333333	718.31	720.07	Ma	0.0	90.0	0	283.0	10.9	74	6.5	n	8	7.9	187.6	Diabase dike from Greenland. Geochronology from Pu et al. (2022) 10.1126/sciadv.adc9430.
TB	Greenland	i	g	FS-FD:FS-C:FS-LOC-GPS:LP-DC4:SP-MAGN:SP-HL:SC-MS:LP-X-T:LP-DIR-AF:SO-SM:DE-FM:DE-BFL	10.1139/E09-042	igneous	Volcanic Dike	Diabase	76.45138889	290.7655556	718.31	720.07	Ma	25.0	90.0	0	296.5	26.4	37	8.6	n	9	19.6	178.0	Diabase dike from Greenland. Geochronology from Pu et al. (2022) 10.1126/sciadv.adc9430.
NU2	Greenland	i	g	FS-FD:FS-C:FS-LOC-GPS:LP-DC4:SP-MAGN:SP-HL:SC-MS:LP-X-T:LP-DIR-AF:SO-SM:DE-FM:DE-BFL	10.1139/E09-042	igneous	Volcanic Dike	Diabase	77.36861111	288.5166667	718.31	720.07	Ma	25.0	90.0	0	289.3	16.3	123	5.0	n	8	12.3	181.4	Diabase dike from Greenland. Geochronology from Pu et al. (2022) 10.1126/sciadv.adc9430.
PK	Greenland	i	g	FS-FD:FS-C:FS-LOC-GPS:LP-DC4:SP-MAGN:SP-HL:SC-MS:LP-X-T:LP-DIR-AF:SO-SM:DE-FM:DE-BFL	10.1139/E09-042	igneous	Volcanic Dike	Diabase	77.93416667	287.7986111	718.31	720.07	Ma	10.0	90.0	0	288.7	-18.5	132	5.3	n	7	-5.5	177.6	Diabase dike from Greenland. Geochronology from Pu et al. (2022) 10.1126/sciadv.adc9430.
KC	Greenland	i	g	FS-FD:FS-C:FS-LOC-GPS:LP-DC4:SP-MAGN:SP-HL:SC-MS:LP-X-T:LP-DIR-AF:SO-SM:DE-FM:DE-BFL	10.1139/E09-042	igneous	Volcanic Dike	Diabase	77.5525	289.7488889	718.31	720.07	Ma	30.0	90.0	0	290.6	15.7	327	5.1	n	4	12.2	181.2	Diabase dike from Greenland. Geochronology from Pu et al. (2022) 10.1126/sciadv.adc9430.
PW	Greenland	i	g	FS-FD:FS-C:FS-LOC-GPS:LP-DC4:SP-MAGN:SP-HL:SC-MS:LP-X-T:LP-DIR-AF:SO-SM:DE-FM:DE-BFL	10.1139/E09-042	igneous	Volcanic Dike	Diabase	77.18583333	289.1663889	718.31	720.07	Ma	20.0	90.0	0	293.6	15.9	144	5.1	n	7	13.0	177.8	Diabase dike from Greenland. Geochronology from Pu et al. (2022) 10.1126/sciadv.adc9430.
QA	Greenland	i	g	FS-FD:FS-C:FS-LOC-GPS:LP-DC4:SP-MAGN:SP-HL:SC-MS:LP-X-T:LP-DIR-AF:SO-SM:DE-FM:DE-BFL	10.1139/E09-042	igneous	Volcanic Dike	Diabase	77.48361111	291.1475	718.31	720.07	Ma	35.0	90.0	0	298.8	26.1	106	6.5	n	6	19.5	175.7	Diabase dike from Greenland. Geochronology from Pu et al. (2022) 10.1126/sciadv.adc9430.
KA	Greenland	i	b	FS-FD:FS-C:FS-LOC-GPS:LP-DC4:SP-MAGN:SP-HL:SC-MS:LP-X-T:LP-DIR-AF:SO-MAG:DE-FM:DE-BFL	10.1139/E09-042	igneous	Volcanic Dike	Diabase	77.20083333	289.2316667	718.31	720.07	Ma	30.0	90.0	0	307.8	-1.6	435	12.0	n	2	7.0	162.0	Diabase dike from Greenland. Geochronology from Pu et al. (2022) 10.1126/sciadv.adc9430.
CA_Sill	Greenland	i	g	FS-FD:FS-C:FS-LOC-GPS:LP-DC4:SP-MAGN:SP-HL:SC-MS:LP-X-T:LP-DIR-AF:SO-SM:DE-FM:DE-BFL	10.1139/E09-042	igneous	Sill	Diabase	76.73416667	286.7822222	718.31	720.07	Ma			0	295.4	9.3	234	5.0	n	5	10.2	173.0	Diabase sill from Greenland. Geochronology from Pu et al. (2022) 10.1126/sciadv.adc9430.
