site,strike,dip,n/no,dec_is,inc_is,alpha95,k,dec_tc,inc_tc,section,filtered_out_by_direction
SC 2a,325,81,5/11,104.50,36.00,11.50,45.00,97.90,-25.30,Sheep Creek Canyon,yes
SC 5a,324,80,4/12,102.60,58.70,12.70,53.00,77.40,-11.00,Sheep Creek Canyon,yes
SC 6a,325,78,7/12,114.00,31.30,12.60,23.80,105.70,-18.80,Sheep Creek Canyon,yes
SC 9b,293,43,3/20,97.50,-8.20,17.10,52.90,107.20,-16.50,Sheep Creek Canyon,
SC 10a,301,55,3/3,81.20,33.30,11.90,108.40,71.30,-7.10,Sheep Creek Canyon,yes
SC 11,296,39,12/12,98.10,-12.50,4.10,115.00,110.00,-20.90,Sheep Creek Canyon,
SC 12,297,36,12/14,95.30,6.50,5.30,69.20,95.50,-7.10,Sheep Creek Canyon,
SC 13,286,38,2/7,88.70,15.60,6.50,1502.00,83.00,2.00,Sheep Creek Canyon,
SC 13a,286,38,3/7,82.30,32.90,12.50,98.10,68.00,12.70,Sheep Creek Canyon,yes
SC 14,301,39,4/15,105.30,6.40,3.40,718.10,104.70,-4.70,Sheep Creek Canyon,
SC 15,298,30,4/4,108.00,6.40,11.60,63.80,106.20,0.60,Sheep Creek Canyon,
SC 16,315,41,5/5,105.90,6.00,9.50,65.60,108.50,-13.80,Sheep Creek Canyon,
SC 17,308,41,9/9,90.50,10.20,7.50,48.10,91.90,-15.00,Sheep Creek Canyon,
SC 19,303,40,5/14,96.20,11.70,9.60,64.60,94.80,-7.40,Sheep Creek Canyon,
SC 20,304,35,11/11,97.40,6.00,5.70,64.60,98.50,-9.80,Sheep Creek Canyon,
SC 21b,305,52,3/13,273.10,62.90,20.70,36.50,0.00,47.50,Sheep Creek Canyon,
SC 22,287,30,14/17,90.80,22.30,6.40,39.30,82.10,11.50,Sheep Creek Canyon,
SC 23,287,30,8/12,98.30,0.50,7.50,56.00,99.20,-3.90,Sheep Creek Canyon,
SC 24,267,20,4/5,95.10,-1.20,3.60,665.20,95.00,1.60,Sheep Creek Canyon,
SC 26,257,22,8/8,89.80,-0.40,5.90,55.90,89.00,4.40,Sheep Creek Canyon,
SC 71,294,33,5/8,99.50,-1.80,11.30,47.20,102.70,-9.40,Sheep Creek Canyon,
SC 72b,318,25,5/8,96.40,18.40,15.90,24.00,93.20,1.10,Sheep Creek Canyon,
SC 75,294,39,7/11,89.60,0.10,13.20,22.00,94.50,-15.00,Sheep Creek Canyon,
SC 77,284,32,8/8,90.60,11.10,7.50,66.30,86.80,2.50,Sheep Creek Canyon,
SC 80,296,27,7/7,86.60,20.70,10.20,36.00,81.00,6.10,Sheep Creek Canyon,
SC 83,284,30,8/8,103.30,-11.10,2.50,502.20,109.00,-9.90,Sheep Creek Canyon,
SC 84,278,95,7/7,90.90,-0.90,7.30,70.10,99.50,-7.00,Sheep Creek Canyon,
SC 85a,280,30,8/8,77.20,17.90,8.20,46.40,71.70,4.70,Sheep Creek Canyon,
SC 86,267,23,7/7,88.50,9.90,8.30,53.50,84.50,9.70,Sheep Creek Canyon,
SC 87,279,35,7/7,89.60,-11.80,7.30,69.40,98.20,-15.00,Sheep Creek Canyon,
SC 88a,292,27,5/6,74.30,10.70,11.60,44.30,73.40,-6.20,Sheep Creek Canyon,yes
SC 89,247,15,9/12,99.30,-19.50,11.00,23.00,102.70,-11.10,Sheep Creek Canyon,
SC 90,247,15,6/6,91.10,-21.80,9.60,50.10,95.60,-15.10,Sheep Creek Canyon,
BL 55a,278,5,5/5,41.70,57.90,6.40,114.90,37.80,53.70,Browne Lake,yes
BL 56,277,11,5/10,82.90,-5.80,13.10,35.10,84.30,-8.30,Browne Lake,
CC 57,285,12,8/11,263.20,-13.40,5.80,–,261.00,-8.70,Carter Creek,
CC 58,232,10,10/12,266.40,-6.70,4.40,–,265.00,-12.30,Carter Creek,
CC 59,277,9,5/8,270.40,-11.80,12.90,–,268.60,-10.60,Carter Creek,
CC 60,300,5,4/8,272.00,-5.00,3.40,–,271.70,-2.60,Carter Creek,
CC 61,281,1,9/11,263.90,-5.90,11.70,–,263.80,-5.60,Carter Creek,
DS 29b,0,0,7/10,98.70,-20.10,30.70,4.80,98.70,-20.10,Dowd Springs non-fold test rocks,
DS 29a,0,0,5/10,281.10,-42.20,14.30,30.30,281.10,-42.20,Dowd Springs non-fold test rocks,yes
DS 30a,107,4,6/10,290.90,-72.20,8.10,69.20,302.90,-71.50,Dowd Springs non-fold test rocks,yes
DS 31b,217,3,8/11,107.10,3.30,20.60,8.20,107.00,6.10,Dowd Springs non-fold test rocks,
DS 32b,0,0,5/10,282.00,-36.10,24.00,11.10,282.00,-36.10,Dowd Springs non-fold test rocks,
DS 33b,132,7,3/10,97.00,-14.70,19.90,39.50,95.70,-10.60,Dowd Springs non-fold test rocks,
DS 34,132,7,9/10,101.90,-5.00,10.80,23.70,101.60,-1.50,Dowd Springs non-fold test rocks,
DS 35,99,4,10/11,103.80,-7.20,8.80,31.10,103.30,-7.50,Dowd Springs non-fold test rocks,
DS 36,102,6,9/11,108.70,-23.00,9.30,31.40,106.10,-23.60,Dowd Springs non-fold test rocks,
