tab	locations
location	sites	location_type	result_name	result_type	result_quality	method_codes	citations	geologic_classes	lithologies	lat_s	lat_n	lon_w	lon_e	age	age_low	age_high	age_unit	dir_tilt_correction	pole_lat	pole_lon	pole_alpha95	pole_n_sites	description
Browne Lake	BL 54:BL 55:BL 56	Stratigraphic Section	Uinta Mountain Group ca. 754 Ma pole	a	g	LP-DM-NRM:LP-DIR-CHEM:LP-IRM-DCD:LP-DIR-T:LP-T:ST-F:DE-VGP	10.1016/j.precamres.2006.01.017: 10.1130/B31532.1	Sedimentary	Sandstone:Mudstone	40	41	249	252	760	750	800	Ma	100	-1.6	167.4	13.1	1	Red beds of the Neoproterozoic Uinta Mountain Group in the Central Rocky Mountains of Utah.
Carter Creek	CC 57:CC 58:CC 59:CC 60:CC 61	Stratigraphic Section	Uinta Mountain Group ca. 754 Ma pole	a	g	LP-DM-NRM:LP-DIR-CHEM:LP-IRM-DCD:LP-DIR-T:LP-T:ST-F:DE-VGP	10.1016/j.precamres.2006.01.017: 10.1130/B31532.1	Sedimentary	Sandstone:Mudstone	40	41	249	252	760	750	800	Ma	100	-5.7	160.1	5.7	5	Red beds of the Neoproterozoic Uinta Mountain Group in the Central Rocky Mountains of Utah.
Dowd Springs (flat)	DS 29:DS 29:DS 30:DS 31:DS 32:DS 33:DS 34:DS 35:DS 36:DS 37:DS 38	Stratigraphic Section	Uinta Mountain Group ca. 754 Ma pole	a	g	LP-DM-NRM:LP-DIR-CHEM:LP-IRM-DCD:LP-DIR-T:LP-T:ST-F:DE-VGP	10.1016/j.precamres.2006.01.017: 10.1130/B31532.1	Sedimentary	Sandstone:Mudstone	40	41	249	252	760	750	800	Ma	100	11.2	155.6	12.1	5	Red beds of the Neoproterozoic Uinta Mountain Group in the Central Rocky Mountains of Utah.
Dowd Springs (fold)	DS 39:DS 40:DS 41:DS 42:DS 43:DS 44	Stratigraphic Section	Uinta Mountain Group ca. 754 Ma pole	a	g	LP-DM-NRM:LP-DIR-CHEM:LP-IRM-DCD:LP-DIR-T:LP-T:ST-F:DE-VGP	10.1016/j.precamres.2006.01.017: 10.1130/B31532.1	Sedimentary	Sandstone:Mudstone	40	41	249	252	760	750	800	Ma	100	-4.7	156.7	11.5	6	Red beds of the Neoproterozoic Uinta Mountain Group in the Central Rocky Mountains of Utah.
Flaming Gorge	FG-AW-01:FG-AW-02:FG-AW-03:FG-AW-04:FG-GA-01:FG-GA-02:FG-GA-03:FG-GA-04:FG-GA-05:FG-GA-06:FG-GA-07:FG-GA-08:FG 48:FG 49:FG 50:FG 51:FG 52:FG 53	Stratigraphic Section	Uinta Mountain Group ca. 754 Ma pole	a	g	LP-DM-NRM:LP-DIR-CHEM:LP-IRM-DCD:LP-DIR-T:LP-T:ST-F:DE-VGP	10.1016/j.precamres.2006.01.017: 10.1130/B31532.1	Sedimentary	Sandstone:Mudstone	40	41	249	252	760	750	800	Ma	100	-5.4	158.9	4.5	16	Red beds of the Neoproterozoic Uinta Mountain Group in the Central Rocky Mountains of Utah.
Bull Canyon	BC 01:BC 02:BC 03:BC 04:BC 05:BC 06:BC 07:BC 08:BC 09:BC 10	Stratigraphic Section	Uinta Mountain Group ca. 754 Ma pole	a	g	LP-DM-NRM:LP-DIR-CHEM:LP-IRM-DCD:LP-DIR-T:LP-T:ST-F:DE-VGP	10.1016/j.precamres.2006.01.017: 10.1130/B31532.1	Sedimentary	Sandstone:Mudstone	40	41	249	252	760	750	800	Ma	100	4.5	163.3	5.9	10	Red beds of the Neoproterozoic Uinta Mountain Group in the Central Rocky Mountains of Utah.
Home Mountain Canyon	UMG-GA-01:UMG-GA-02:UMG-GA-03	Stratigraphic Section	Uinta Mountain Group ca. 754 Ma pole	a	g	LP-DM-NRM:LP-DIR-CHEM:LP-IRM-DCD:LP-DIR-T:LP-T:ST-F:DE-VGP	10.1016/j.precamres.2006.01.017: 10.1130/B31532.1	Sedimentary	Sandstone:Mudstone	40	41	249	252	760	750	800	Ma	100	0.5	164.8	12.5	3	Red beds of the Neoproterozoic Uinta Mountain Group in the Central Rocky Mountains of Utah.
Sparks-Talamantes Creek	SP 01:SP 02:SP 03:SP 04:SP 05:SP 06:SP 07:SP 08:SP 09:SP 10:SP 11:SP 12	Stratigraphic Section	Uinta Mountain Group ca. 754 Ma pole	a	g	LP-DM-NRM:LP-DIR-CHEM:LP-IRM-DCD:LP-DIR-T:LP-T:ST-F:DE-VGP	10.1016/j.precamres.2006.01.017: 10.1130/B31532.1	Sedimentary	Sandstone:Mudstone	40	41	249	252	760	750	800	Ma	100	1.7	166.3	8.2	9	Red beds of the Neoproterozoic Uinta Mountain Group in the Central Rocky Mountains of Utah.
Sheep Creek Canyon	SC 1:SC 2:SC 3:SC 4:SC 5:SC 6:SC 7:SC 8:SC 9:SC 14:SC 19:SC 21:SC 46:SC 47:SC 70:SC 74:SC 78:SC 79:SC 81:SC 82	Stratigraphic Section	Uinta Mountain Group ca. 754 Ma pole	a	g	LP-DM-NRM:LP-DIR-CHEM:LP-IRM-DCD:LP-DIR-T:LP-T:ST-F:DE-VGP	10.1016/j.precamres.2006.01.017: 10.1130/B31532.1	Sedimentary	Sandstone:Mudstone	40	41	249	252	760	750	800	Ma	100	6.5	158.4	4.7	23	Red beds of the Neoproterozoic Uinta Mountain Group in the Central Rocky Mountains of Utah.
Irish Canyon Section	IC-AW-01:IC-AW-02:IC-AW-03:IC-AW_04:IC-AW-05:IC-AW-06:IC-AW-07:IC-AW-08:IC-AW_09:IC-AW-10:IC-AW-11:IC-AW-12:IC-AW-13:IC-AW-14:IC 01:IC 02:IC 03:IC 05:IC 06:IC 07:IC 08:IC 10:IC 11:IC12:IC 14	Stratigraphic Section	UMG present-field overprint	a	g	LP-DM-NRM:LP-DIR-CHEM:LP-IRM-DCD:LP-DIR-T:LP-T:ST-F:DE-VGP	10.1016/j.precamres.2006.01.017: 10.1130/B31532.1	Sedimentary	Sandstone:Mudstone	40	41	249	252	760	750	800	Ma	100	79.7	322.2	5.6	22	Red beds of the Neoproterozoic Uinta Mountain Group in the Central Rocky Mountains of Utah.
Cross Mountain	CR 1:CR 2:CR 3:CR 4:CR 5:CR 6:CR 7:CR 8:CR 9:CR 10:CR 11:CR 12:CR 13:CR 14:CR 15:CR 16:CR 17:CR 18:CR 20:CR 21:CR 22:CR 22	Stratigraphic Section	UMG present-field overprint	a	g	LP-DM-NRM:LP-DIR-CHEM:LP-IRM-DCD:LP-DIR-T:LP-T:ST-F:DE-VGP	10.1016/j.precamres.2006.01.017: 10.1130/B31532.1	Sedimentary	Sandstone:Mudstone	40	41	249	252	760	750	800	Ma	100	83.9	177.8	6.9	22	Red beds of the Neoproterozoic Uinta Mountain Group in the Central Rocky Mountains of Utah.
Lone Mountain	LN 1:LN 2:LN 4:LN 8:LN 9:LN 10:LN 11:LN 12:LN 13:LN 14:LN 15:LN 17:LN 17:LN 20	Stratigraphic Section	UMG present-field overprint	a	g	LP-DM-NRM:LP-DIR-CHEM:LP-IRM-DCD:LP-DIR-T:LP-T:ST-F:DE-VGP	10.1016/j.precamres.2006.01.017: 10.1130/B31532.1	Sedimentary	Sandstone:Mudstone	40	41	249	252	760	750	800	Ma	100	88.2	203.6	7.0	22	Red beds of the Neoproterozoic Uinta Mountain Group in the Central Rocky Mountains of Utah.
Juniper Mountain	JP1:JP 2:JP 3:JP 4:JP 5:JP 6:JP 7	Stratigraphic Section	UMG present-field overprint	a	g	LP-DM-NRM:LP-DIR-CHEM:LP-IRM-DCD:LP-DIR-T:LP-T:ST-F:DE-VGP	10.1016/j.precamres.2006.01.017: 10.1130/B31532.1	Sedimentary	Sandstone:Mudstone	40	41	249	252	760	750	800	Ma	100	88.2	203.6	12.9	64	Red beds of the Neoproterozoic Uinta Mountain Group in the Central Rocky Mountains of Utah.
Uinta Mountain Group ca. 760 Ma pole â Fisher mean of section means (after Weil et al. 2006)		Stratigraphic Section	Uinta Mountain Group ca. 754 Ma pole	a	g	LP-DM-NRM:LP-DIR-CHEM:LP-IRM-DCD:LP-DIR-T:LP-T:ST-F:DE-VGP	10.1016/j.precamres.2006.01.017	Sedimentary	Sandstone:Mudstone	40	41	249	252	760	750	800	Ma	100	0.8	161.3	4.6	9	Red beds of the Neoproterozoic Uinta Mountain Group in the Central Rocky Mountains of Utah.
Uinta Mountain Group ca. 760 Ma pole â Fisher mean of site VGPs		Stratigraphic Section	Uinta Mountain Group ca. 754 Ma pole	a	g	LP-DM-NRM:LP-DIR-CHEM:LP-IRM-DCD:LP-DIR-T:LP-T:ST-F:DE-VGP	10.1016/j.precamres.2006.01.017	Sedimentary	Sandstone:Mudstone	40	41	249	252	760	750	800	Ma	100	1.64	159.94	0.97	140	Red beds of the Neoproterozoic Uinta Mountain Group in the Central Rocky Mountains of Utah.
