RefNo,ResultNo,RockName,Year,Authors,Journal,Volume,Pages,Continent,RockType,LowAge,HighAge,LoMagAge,HiMagAge,SLat,SLon,PLat,PLon,DP,DM,QSUM,RSUM,K,A95,B,N
4142,9970,NE trending ECMB Diabase Dykes,2021,"Swanson‐Hysell, N.L., Avery, M.S., Zhang, Y., Hodgin, E.B., Sherwood, R.J., Apen, F.E., Boerboom, T.J.,  Keller, C.B., Cottle, J.M.",Tectonics,40,e2021TC006751,North America,"intrusives, diabases",1776,1783,1776,1783,45.53,-94.25,20.4,265.8,4.5,4.5,6,6,,,23,148
4161,9997,"Johnnie Formation, Rainstorm Member",2021,"Kodama, K.P.",Frontiers in Earth Science,9,764714,North America,sediments,564,579,564,579,36.9,-115,11.7,348.5,8.6,8.6,5,4,,12,60,
4169,10013,Beaver River Diabase,2021,"Zhang, Y., Swanson-Hysell, N.L., Schmitz, M.D., Miller, J.D., Avery, M.S.",Geochem.Geophys.Geosyst.,22,e2021GC009909,North America,intrusives,1090,1092,1090,1092,47.4,-91,32.5,189.5,6.3,6.3,5,4,51.6,5,15,130
4169,10014,Beaver River Anorthosite,2021,"Zhang, Y., Swanson-Hysell, N.L., Schmitz, M.D., Miller, J.D., Avery, M.S.",Geochem.Geophys.Geosyst.,22,e2021GC009909,North America,intrusives,1090,1092,1090,1092,47.4,-91,30.9,190.8,5.2,5.2,5,4,55,4.9,17,141
4181,10030,Crown Hill Formation,2020,"Wen, B., Evans, D.A.D., Anderson, R.P., McCausland, P.J.A.",Earth Planet.Sci.Letters,552,116591,North America,"sediments, redbeds",550,557,550,557,48.58,-53.4,48.1,189.9,2.5,4.2,7,6,31.1,3.6,51,
4152,9981,Kwagunt Formation,2020,"Eyster, A., Weiss, B.P., Karlstrom, K., Macdonald, F.A.",Geol.Soc.Amer.Bull.,132,710-738,North America,sediments,743,759,743,759,36.26,-111.89,13.5,162.8,3.3,3.3,7,7,43.4,4.6,23,71
4181,10029,"Bull Arm Formation, Bonavista",2020,"Wen, B., Evans, D.A.D., Anderson, R.P., McCausland, P.J.A.",Earth Planet.Sci.Letters,552,116591,North America,"extrusives, basalts",589,594,589,594,48.3,-53.55,15.5,98.2,9.1,15.5,7,7,14.5,13.1,10,41
4210,10075,Nuuk Dyke,2020,"Miki, M., Seki, H., Yamamoto, Y., Gouzu, C., Hyodo, H., Uno, K., Otofuji, Y.",J.Geodynamics,139,101752,North America,"intrusives, dolerites",1800,1830,1800,1830,64.36,-51.33,33.5,263.6,4.8,5.9,4,4,83.4,3.9,1,17
4083,9886,NW Ontario Lamprophyre Dykes,2018,"Piispa, E.L., Smirnov, A.V., Pesonen, L.J., Mitchell, R.H.",J.Geophys.Res.,123,doi:10.1029/2018JB015992,North America,"intrusives, lamprophyres",1140,1150,1140,1150,48.8,-86.71,58,223.3,9.2,9.2,7,7,37.8,5.5,19,121
4083,9887,NW Ontario Lamprophyre Dykes and Abitibi Dykes,2018,"Piispa, E.L., Smirnov, A.V., Pesonen, L.J., Mitchell, R.H.",J.Geophys.Res.,123,doi:10.1029/2018JB015992,North America,"intrusives, lamprophyres, diabases",1139,1150,1139,1150,48.4,-86.4,55.8,220,7.3,7.3,7,7,38.4,4.5,27,332
4104,9916,Michipicoten Island Formation,2017,"Fairchild, L.M., Swanson-Hysell, N.L., Ramezani, J., Sprain, C.J., Bowring, S.A.",Lithosphere,9,117-133,North America,"extrusives, basalts, tuffs",1083,1085,1083,1085,47.7,-85.7,17,174.7,4.4,4.4,4,4,30,5.6,23,193
4104,9915,Schroeder-Lutsen Basalts,2017,"Fairchild, L.M., Swanson-Hysell, N.L., Ramezani, J., Sprain, C.J., Bowring, S.A.",Lithosphere,9,117-133,North America,"extrusives, basalts",1083,1092,1083,1092,47.5,-90.9,27.1,187.8,3,3,5,5,39.6,3.2,50,378
3826,9485,Ghost Dykes,2016,"Buchan, K.L., Mitchell, R.N., Bleeker, W., Michael A. Hamilton, M.A., LeCheminant, A.N.",Precambrian Res.,275,151-175,North America,"intrusives, diabases",1882,1892,1882,1892,62.5,-115,2,254,6,6,7,6,32,5,23,150
3871,9539,Sourdough Dykes,2016,"Kilian, T.M., Chamberlain, K.R., Evans, D.A.D., Bleeker, W., Cousens, B.L.",Geology,44,863-866,North America,"intrusives, dolerites",1894,1904,1894,1904,44.7,-108.3,49.2,292,8.1,8.1,6,4,21.8,4.7,16,109
3826,9484,Indin Dykes,2016,"Buchan, K.L., Mitchell, R.N., Bleeker, W., Michael A. Hamilton, M.A., LeCheminant, A.N.",Precambrian Res.,275,151-175,North America,"intrusives, diabases",2108,2129,2108,2129,62.5,-114.3,36,284,7,7,7,6,62,4,18,95
3837,9496,"Rabbi Creek, Powder River and South Path Dykes",2016,"Kilian, T.M., Bleeker, W., Chamberlain, K., Evans, D.A.D., Cousens, B.",Geol.Soc.London Spec.Publ.,424,15-45,North America,"intrusives, diabases",2152,2171,2152,2171,43.9,-107.2,65.5,339.2,7.6,7.6,7,6,,5.8,13,81
