Terrane,ROCKNAME,RESULT#,COMPONENT,TESTS,TILT,SLAT,SLONG,B,N,DEC,INC,abs(I),KD,ED95,PLAT,PLONG,DP,DM,A95,f,INCf,PLATf,PLONf,DPf,DMf,A95f,f.1,INCf.1,PLATf.1,PLONf.1,DPf.1,DMf.1,A95f.1,%REV,DEMAGCODE,40,24,10,16,Q2,Q3,Q4,Q5,Q6,Q7,Q(7),R1,R2,R3,R4,R5,R6,R7,R,Grade,nominal age,lomagage,himagage,REF/method,ROCKNAME.1,POLE AUTHORS,YEAR,JOURNAL,VOLUME,VPAGES,TITLE,Comment
Laurentia,Sept-Iles Layered Intrusion,1752,A Component,C*+,0.0,50.200001,293.5,10.0,51.0,333.0,-29.0,,34.0,8.0,-20.0,321.0,5.0,9.0,,1.0,-29.0,-20.0,321.0,5.0,9.0,,1.0,-29.0,-20.0,321.0,5.0,9.0,,0or100,4.0,,,,,,1.0,1.0,1.0,,0.0,,1.0,1,1.0,c,0.0,0.0,0.0,,B,,561.0,569.0,"565±4 Ma weighted mean of 207Pb/206Pb dates from two zircon grains dated via U-Pb ID-TIMS in Higgins and van Breemen, 1998 (https://doi.org/10.1086/516033). A third grain was dated and rejected from the weighted mean.",Sept-Iles Layered Intrusion,"Tanczyk, E.I., Lapointe,P., Morris,W.A., Schmidt,P.W.",1987.0,Canad.J.Earth Sci.,24,1431-1438,"A paleomagnetic study of the layered mafic intrusion at Sept-Iles, Quebec",Overlaps with Silurian (possible Salinic orogeny overprint)
Laurentia,Catoctin Basalts,7474,A Component,"C+,F+,Rc,M",100.0,38.5,281.800003,6.0,28.0,68.0,84.0,,59.0,9.0,42.4,306.9,16.5,16.5,16.5,1.0,,,,,,,1.0,,,,,,,50,4.0,,,,,,1.0,1.0,1.0,,1.0,,1.0,0,1.0,fC,1.0,1.0,1.0,,B,568.0,555.0,577.0,572±5 Ma Concordia intercept U-Pb zircon date on a felsic dike within Grenville basement published in Aleinikoff et al. 1995 ( https://doi.org/10.2475/ajs.295.4.428) that is interpreted to be a feeder associated with the flows. A rhyolitic flow in the Catoctin has a 207Pb/206Pb zircon date of 564 ± 9 Ma. Assign the mean age of these two with the uncertainty bounds including the uncertainty of each.,Catoctin Basalts,"Meert, J.G., Van der Voo, R., Payne,T.W.",1994.0,J.Geophys.Res.,99,4625-4641,Paleomagnetism of the Catoctin volcanic province: a new Vendian-Cambrian apparent polar wander path for North America,
Laurentia,Callander Alkaline Complex,6458,A component,"C+,R-",0.0,46.200001,280.599998,26.0,205.0,82.199997,82.699997,,83.0,3.1,46.3,301.4,5.9,6.1,,1.0,82.699997,46.3,301.4,5.9,6.1,,1.0,82.699997,46.3,301.4,5.9,6.1,,12or88,4.0,,,,,,1.0,1.0,0.0,,1.0,,0.0,0,1.0,C,1.0,0.0,1.0,,B,,570.0,580.0,"Age of complex is not well-constrained, K-Ar biotite ages are 564±14 and 568 Ma from lamprophyre dikes, 575 Ma for nepheline syenite, unpublished Pb-Pb age from sphene, brookite, anatase, apatite, rutile ages of 550±4/576±3 with conflicting ages between published abstract and presentation according to Symons and and Chiasson (1991). The authors assumed the age of the complex to be 575±5 Ma, but this interpretation is rather qualitative. ",Callander Alkaline Complex,"Symons,D.T.A., Chiasson,A.D.",1991.0,Canad.J.Earth Sci.,28,355-363,Paleomagnetism of the Callander Complex and the Cambrian apparent polar wander path for North America,
Laurentia,Baie des Moutons complex A,9364,A direction,,0.0,50.8,301.0,8.0,87.0,98.6,78.0,,71.1,6.8,42.6,332.7,11.7,12.4,,1.0,78.0,42.6,332.7,11.7,12.4,,1.0,78.0,42.6,332.7,11.7,12.4,,0or100,4.0,,,,,,1.0,0.0,0.0,,1.0,,1.0,0,1.0,0,1.0,0.0,0.0,,B,,581.0,585.0,583.4±2.0 Ma weighted mean of four hornblende 40Ar–39Ar plateau ages from sites MB20 (B component site) and MB44 (A component site) from McCausland et al 2011 (same study as pole),Baie des Moutons A,"McCausland, P.J.A., Hankard, F., Van der Voo, R., Hall, C.M.",2011.0,Precambrian Res.,187,58-78,"Ediacaran paleogeography of Laurentia: Paleomagnetism and 40Ar–39Ar geochronology of the 583Ma Baie des Moutons syenite, Quebec",
Laurentia,Baie des Moutons complex B,9365,B direction,,0.0,50.8,301.0,6.0,56.0,163.1,6.0,,10.5,21.7,-34.2,321.5,10.9,21.8,,1.0,6.0,-34.2,321.5,10.9,21.8,,1.0,6.0,-34.2,321.5,10.9,21.8,,20or80,4.0,,,,,,1.0,0.0,0.0,,0.0,,1.0,0,1.0,0,1.0,0.0,0.0,,B,,581.0,585.0,583.4±2.0 Ma weighted mean of four hornblende 40Ar–39Ar plateau ages from sites MB20 (B component site) and MB44 (A component site) from McCausland et al 2011 (same study as pole),Baie des Moutons B,"McCausland, P.J.A., Hankard, F., Van der Voo, R., Hall, C.M.",2011.0,Precambrian Res.,187,58-78,"Ediacaran paleogeography of Laurentia: Paleomagnetism and 40Ar–39Ar geochronology of the 583Ma Baie des Moutons syenite, Quebec",Overlaps with Silurian (possible Salinic orogeny overprint)
Laurentia,Long Range Dykes,6934-6936,"Dykes 1,2,3,4 and 6",C+,0.0,53.7,303.3,5.0,92.0,110.3,56.8,,1000.0,14.1,19.0,355.3,14.8,20.5,,1.0,56.8,19.0,355.3,14.8,20.5,,1.0,56.8,19.0,355.3,14.8,20.5,,40or60,4.0,,,,,,1.0,1.0,1.0,,1.0,,1.0,0,1.0,c,1.0,0.0,1.0,,B,,613.0,617.0,"207Pb/206Pb zircon and baddeleyite ages of 615±2 Ma from Kamo et al., 1989. PR85-631 are from dike 2",Long Range Dykes,"Murthy,G.S., Gower,C., Tubett,M., Patzold,R.",1992.0,Canad.J.Earth Sci.,29,1224-1234,"Paleomagnetism of Eocambrian Long Range dykes and Double Mer Formation from Labrador, Canada",
Laurentia,Franklin event grand mean,new,Combined Result,C+,0.0,73.0,,56.0,1000.0,289.1,0.6,,1000.0,0.1,6.7,162.1,3.0,3.0,,1.0,0.6,6.7,162.1,3.0,3.0,,1.0,0.6,6.7,162.1,3.0,3.0,,MIXED,4.0,,,,,,1.0,1.0,1.0,1.0,0.0,,1.0,1,1.0,C,1.0,1.0,0.0,,A,,721.0,727.0,"723+4/-2 from U-Pb zircon ages of Heaman, 1992. The pmag study also dated zircon and baddeleyites, having ages ranging from 726 to 712 Ma",Franklin event grand mean,"Denyszyn,S.W., Halls,H.C., Davis,D.W., Evans,D.A.D.",2009.0,Canad.J.Earth Sci.,46,689-705,Paleomagnetism and U-Pb Geochronology of Franklin dykes in High Arctic Canada and Greenland: A revised age and paleomagnetic pole constraining block rotations in the Nares Strait region,Overlaps with Cambrian
Laurentia,Kwagunt Formation,9981,Component HT,"F+,Rc",100.0,36.3,248.1,23.0,71.0,98.2,-21.8,,43.4,4.6,14.2,163.8,3.5,3.5,3.5,0.6,-33.7,17.2,168.6,3.0,5.2,,0.6,-33.7,14.2,168.6,3.0,5.2,3.9,50,4.0,1.0,,,,,1.0,1.0,1.0,1.0,1.0,7.0,1.0,1,1.0,f,1.0,1.0,1.0,,A,,743.0,759.0,Re-Os age: 751.0+/-7.6 Ma; older than U-Pb: 729.0+/-0.9 Ma; see REFNO 4153,Kwagunt Formation,"Eyster, A., Weiss, B.P., Karlstrom, K., Macdonald, F.A.",2020.0,Geol.Soc.Amer.Bull.,132,710-738,Paleomagnetism of the Chuar Group and evaluation of the late Tonian Laurentian apparent polar wander path with implications for the makeup and breakup of Rodinia,
Laurentia,Uinta Mountain Group,9290,,,100.0,40.75,250.7,9.0,80.0,270.17,1.97,,61.5,6.62,0.8,161.3,3.3,6.6,4.7,0.6,3.3,1.2,161.8,3.3,6.6,4.7,0.6,3.3,1.2,161.8,3.3,6.6,4.7,45or55,4.0,,,,,,1.0,0.0,1.0,,0.0,,1.0,1,1.0,0,0.0,0.0,0.0,,B,,742.0,766.0,"maximum depositional age constraints from detrital zircon U-Pb data from Dehler et al., 2010 is 766±5 Ma. Using Chuar group DZ data constrains the younger bound",Uinta Mountain Group,"Weil, A.B., Geissman, J.W., Ashby, J.M.",2006.0,Precambrian Res.,147,234-259,"A new paleomagnetic pole for the Neoproterozoic Uinta Mountain supergroup, Central Rocky Mountain States, USA",Overlaps with Cambrian
Laurentia,Gunbarrel LIP,,Component HTC,,100.0,45.03,-109.88,14.0,92.0,276.3,-3.7,3.7,13.7,11.1,3.2,151.5,,,8.0,1.0,-3.7,3.2,151.5,,,8.0,,,,,,,,,,,,,,,,,,,,,1.0,1,1.0,1,1.0,0.0,1.0,6.0,A,779.5,776.5,782.5,"Multiple U-Pb ID-TIMS baddeleyite ages: 779.5 ± 3 Ma (BT-8), 779.6 ± 1.4 Ma (Gunbarrel sill), 779.5 ± 1.8 Ma (Calder sheet); all from Harlan et al. (2003).",Gunbarrel LIP,"Ding, J., Evans, D. A. D., Kilian, T., Mitchell, R. N., Gong, Z., Chamberlain, K., Bleeker, W., & Zhang, S.",2025.0,Journal of Geophysical Research: Solid Earth,130,,Local rotations biasing supercontinental configurations: Revisiting a key ca. 780 Ma paleomagnetic pole for Laurentia and Rodinia,
